ParticipantID,ContrastLevel,Direction,ResponseTime
MP,0.6,right,1.90832304955
MP,0.75,right,1.3190510273
MP,0.9,right,1.65023398399
MP,0.6,left,1.71955895424
MP,0.9,right,1.56205415726
MP,0.75,right,1.14688420296
MP,0.9,right,1.56504392624
MP,0.75,right,1.84582710266
MP,0.6,right,2.82699990273
MP,0.6,right,1.81446099281
MP,0.75,right,0.932636022568
MP,0.9,right,1.18412089348
MP,0.9,right,1.16907000542
MP,0.6,right,1.65039396286
MP,0.75,left,1.57579421997
MP,0.9,right,2.72000479698
MP,0.75,right,1.16852807999
MP,0.6,right,2.40220284462
MP,0.75,right,1.34406208992
MP,0.6,left,2.10598921776
MP,0.9,right,1.0604660511
MP,0.9,right,0.994042873383
MP,0.6,left,1.70668387413
MP,0.75,right,1.28587794304
MP,0.6,right,1.62663507462
MP,0.9,right,1.12850308418
MP,0.75,right,0.947599887848
MP,0.75,right,1.39808082581
MP,0.9,right,1.65417695045
MP,0.6,right,1.15512514114
MP,0.75,right,1.36542582512
MP,0.6,right,2.17460584641
MP,0.9,right,1.81366801262
MP,0.9,right,4.61220622063
MP,0.6,right,4.5176320076
MP,0.75,right,1.77058005333
MP,0.9,right,2.41108012199
MP,0.75,right,5.08843183517
MP,0.6,right,5.38176608086
MP,0.9,right,1.35834884644
MP,0.75,right,2.03956794739
MP,0.6,right,2.73293685913
MP,0.75,left,3.81288313866
MP,0.6,right,2.78320097923
MP,0.9,left,3.44492602348
MP,0.9,right,2.08696389198
MP,0.6,right,3.06609392166
MP,0.75,left,6.06811881065
MP,0.6,left,4.59220385551
MP,0.9,left,3.18662190437
MP,0.75,right,1.88743901253
