ParticipantID,ContrastLevel,Direction,ResponseTime
MS,0.75,right,1.11727118492
MS,0.9,right,1.22479820251
MS,0.6,left,1.85571885109
MS,0.75,right,1.4438700676
MS,0.9,left,2.15365791321
MS,0.6,left,2.51385712624
MS,0.75,right,1.11487197876
MS,0.6,right,1.83039283752
MS,0.9,left,2.03640007973
MS,0.75,right,2.08929085732
MS,0.6,right,1.55602884293
MS,0.9,right,1.54085612297
MS,0.9,left,2.30223011971
MS,0.6,right,3.1285598278
MS,0.75,right,1.31138300896
MS,0.75,right,1.49883389473
MS,0.6,left,1.93421983719
MS,0.9,right,1.3518371582
MS,0.6,left,1.85780382156
MS,0.9,right,1.1099460125
MS,0.75,right,0.937850952148
MS,0.6,right,1.25237798691
MS,0.75,right,1.02628707886
MS,0.9,right,1.54564094543
MS,0.75,left,2.16304588318
MS,0.6,left,2.21076893806
MS,0.9,left,1.88041305542
MS,0.6,left,1.90792298317
MS,0.75,right,1.15799021721
MS,0.9,left,2.55961799622
MS,0.75,left,2.39850592613
MS,0.6,right,1.11617493629
MS,0.9,right,1.81610298157
MS,0.75,right,1.04636001587
MS,0.6,left,1.49279999733
MS,0.9,right,0.904359102249
MS,0.6,right,1.58842015266
MS,0.75,left,2.05991601944
MS,0.9,left,1.68771195412
MS,0.75,right,1.21961808205
MS,0.9,right,2.46716594696
MS,0.6,left,1.63828611374
MS,0.75,right,2.27565097809
MS,0.6,right,1.04629015923
MS,0.9,right,2.01285099983
MS,0.75,right,1.4027159214
MS,0.9,left,3.01063895226
MS,0.6,left,1.7585310936
MS,0.9,left,2.534897089
MS,0.6,right,1.26327681541
MS,0.75,left,2.37260699272
