ParticipantID,ContrastLevel,Direction,ResponseTime
ms,0.75,left,2.65454602242
ms,0.6,left,3.46586298943
ms,0.9,right,1.20304584503
ms,0.75,right,1.17116785049
ms,0.6,left,3.27697896957
ms,0.9,right,1.4456717968
ms,0.75,right,1.27526187897
ms,0.6,right,1.63216614723
ms,0.9,right,1.70203995705
ms,0.75,left,2.08940601349
ms,0.6,right,1.98852586746
ms,0.9,left,3.12386512756
ms,0.6,left,2.64370298386
ms,0.9,right,1.40698814392
ms,0.75,left,2.28636813164
ms,0.75,right,1.34482693672
ms,0.9,left,2.68306303024
ms,0.6,right,2.33296108246
ms,0.6,left,3.0057489872
ms,0.9,right,1.63445711136
ms,0.75,right,1.36860394478
ms,0.75,right,1.13763213158
ms,0.9,left,2.14876484871
ms,0.6,left,3.47711801529
ms,0.75,right,3.43744206429
ms,0.9,left,2.37604689598
ms,0.6,right,1.02240896225
ms,0.75,right,2.12583184242
ms,0.9,right,2.09488296509
ms,0.6,left,1.64121103287
ms,0.75,right,1.08683490753
ms,0.9,left,2.32379293442
ms,0.6,right,2.91726708412
ms,0.6,right,1.19722390175
ms,0.9,right,1.50163006783
ms,0.75,left,4.12922000885
ms,0.9,right,2.1983230114
ms,0.75,right,1.34867095947
ms,0.6,right,2.11873602867
ms,0.6,right,1.68033695221
ms,0.9,right,1.21232199669
ms,0.75,left,2.85190796852
ms,0.75,right,1.10279011726
ms,0.6,right,2.18736600876
ms,0.9,left,2.36211395264
ms,0.9,left,2.38568496704
ms,0.75,right,1.44002199173
ms,0.6,right,2.2379322052
ms,0.6,left,2.41868281364
ms,0.75,left,2.13601398468
ms,0.9,left,2.78497004509
