ParticipantID,Condition,PressedKey,TrialTime,StampedTime
MS,Right,left,1.22986602783,1.22962903976
MS,Right,left,1.23000907898,1.22988796234
MS,Right,right,2.9739279747,2.97366189957
MS,Right,left,4.02195096016,4.02169489861
MS,Right,right,6.90195894241,6.90175199509
MS,Right,right,6.90210294724,6.90198302269
MS,Right,space,9.11812496185,9.11786699295
MS,Right,left,10.6300389767,10.6298429966
MS,Right,left,10.6301810741,10.6300609112
MS,Right,right,12.9902300835,12.9899740219
MS,Right,left,14.6542389393,14.6539890766
MS,Right,right,19.0304338932,19.0302100182
MS,Right,right,19.030577898,19.0304570198
MS,Right,left,20.9104070663,20.9101860523
MS,Right,left,20.9105479717,20.9104280472
MS,Right,right,23.3745279312,23.3742790222
MS,Right,space,24.4864931107,24.486287117
MS,Right,space,24.4866371155,24.4865159988
MS,Right,space,28.1187009811,28.1184430122
MS,Right,left,29.5266869068,29.5264880657
MS,Right,left,29.5268290043,29.5267090797
MS,Right,right,32.6468610764,32.6466059685
MS,Right,right,35.734899044,35.7346451283
MS,Right,left,37.7509710789,37.7507219315
MS,Right,right,39.3589169979,39.3587229252
MS,Right,right,39.3590600491,39.3589379787
MS,Right,left,41.7590939999,41.7588429451
MS,Right,left,44.3591709137,44.358921051
MS,Right,right,46.1032381058,46.1029939651
MS,Right,left,48.9912481308,48.9910459518
MS,Right,left,48.9913890362,48.9912700653
MS,Right,right,50.0153090954,50.0150570869
MS,Right,left,51.759362936,51.759157896
MS,Right,left,51.7595031261,51.7593851089
MS,Right,right,54.007463932,54.0072159767
MS,Right,left,57.7675850391,57.7673289776
MS,Left,right,0.0328779220581,0.00500988960266
MS,Left,left,1.56548094749,1.56527900696
MS,Left,left,1.56562304497,1.565502882
MS,Left,right,3.0134768486,3.0132830143
MS,Left,right,3.0136179924,3.01349782944
MS,Left,space,4.53354001045,4.53333497047
MS,Left,space,4.53368186951,4.53356194496
MS,Left,left,6.2056388855,6.20539188385
MS,Left,right,7.90959882736,7.90940284729
MS,Left,right,7.90974092484,7.90962004662
MS,Left,left,10.1098668575,10.1095860004
MS,Left,right,11.5497739315,11.549530983
MS,Left,left,14.3098368645,14.3096368313
MS,Left,left,14.3099780083,14.3098578453
MS,Left,right,17.5100338459,17.5097789764
MS,Left,left,18.9339928627,18.9337499142
MS,Left,right,21.2221088409,21.2218558788
MS,Left,left,22.9901080132,22.9898648262
MS,Left,space,24.8541889191,24.8539400101
MS,Left,right,26.1181819439,26.1179859638
MS,Left,right,26.1183240414,26.1182038784
MS,Left,left,27.2781879902,27.2779948711
MS,Left,left,27.2783310413,27.278208971
MS,Left,right,29.4463858604,29.4461660385
MS,Left,right,29.4465270042,29.4464080334
MS,Left,right,33.1344950199,33.1342389584
MS,Left,left,35.1824860573,35.1822879314
MS,Left,left,35.1826269627,35.1825079918
MS,Left,space,37.8786668777,37.8784120083
MS,Left,left,39.8226909637,39.8224449158
MS,Left,right,41.7026538849,41.7024579048
MS,Left,right,41.7027938366,41.7026748657
MS,Left,left,45.9588718414,45.958619833
MS,Left,right,48.5349750519,48.5347280502
MS,Left,left,50.3029088974,50.3027148247
MS,Left,left,50.3030500412,50.3029298782
MS,Left,space,51.8549189568,51.854724884
MS,Left,space,51.8550610542,51.8549408913
MS,Left,space,54.3751208782,54.374876976
MS,Left,right,59.8874249458,59.887141943
MS,Right,left,1.18577694893,1.1855340004
MS,Right,left,1.18592000008,1.18579888344
MS,Right,right,3.54578495026,3.54553389549
MS,Right,left,4.9216837883,4.92148995399
MS,Right,left,4.92182588577,4.92170596123
MS,Right,right,6.57786488533,6.57761478424
MS,Right,left,9.08199977875,9.08173680305
MS,Right,right,10.4179458618,10.4177007675
MS,Right,left,11.8818929195,11.8816988468
MS,Right,left,11.8820347786,11.8819139004
MS,Right,right,13.6979589462,13.6977639198
MS,Right,right,13.6981008053,13.6979799271
MS,Right,left,16.1140837669,16.1138827801
MS,Right,left,16.1142277718,16.1141068935
MS,Right,space,19.050167799,19.0499689579
MS,Right,space,19.0503098965,19.0501899719
MS,Right,space,21.6503009796,21.6500549316
MS,Right,left,26.754390955,26.754185915
MS,Right,left,26.7545318604,26.7544119358
MS,Right,right,29.2025499344,29.2023019791
MS,Right,left,30.1384489536,30.1382548809
MS,Right,left,30.138589859,30.1384699345
MS,Right,right,31.4426019192,31.4423577785
MS,Right,left,33.0505478382,33.0503537655
MS,Right,left,33.050688982,33.050568819
MS,Right,right,34.3625819683,34.3623888493
MS,Right,right,34.3627228737,34.3626029491
MS,Right,right,36.9146618843,36.9144649506
MS,Right,right,36.9148039818,36.9146828651
MS,Right,left,38.1787729263,38.1785309315
MS,Right,right,41.9069058895,41.9066848755
MS,Right,right,41.9070518017,41.9069309235
MS,Right,left,43.178924799,43.1786818504
MS,Right,right,45.5390598774,45.5388119221
MS,Right,left,47.1710548401,47.1708087921
MS,Right,space,48.2670898438,48.2668468952
MS,Right,space,49.8991367817,49.8988809586
MS,Right,left,52.5232458115,52.5229988098
MS,Right,left,55.7152559757,55.7150559425
MS,Right,left,55.7153978348,55.7152769566
MS,Right,space,57.7873699665,57.7871239185
MS,Right,left,59.923448801,59.9232039452
MS,Left,left,1.58988499641,1.58959794044
MS,Left,right,3.3658208847,3.36557483673
MS,Left,left,4.93384885788,4.93360280991
MS,Left,right,6.38185691833,6.38166093826
MS,Left,right,6.38199782372,6.38187789917
MS,Left,left,9.213960886,9.21376180649
MS,Left,left,9.2141020298,9.21398186684
MS,Left,left,12.0861058235,12.0858569145
MS,Left,left,15.4142420292,15.413987875
MS,Left,left,17.9422309399,17.942032814
MS,Left,left,17.9423730373,17.9422519207
MS,Left,right,19.7903518677,19.7901329994
MS,Left,right,19.7904939651,19.7903740406
MS,Left,left,23.5584568977,23.558205843
MS,Left,space,25.7984340191,25.7982349396
MS,Left,space,25.7985749245,25.7984559536
MS,Left,left,27.7345528603,27.7343049049
MS,Left,right,30.0866599083,30.0864138603
MS,Left,left,32.0066838264,32.0064408779
MS,Left,space,34.654779911,34.6545319557
MS,Left,left,37.1908798218,37.1906318665
MS,Left,right,40.8149728775,40.8147230148
MS,Left,left,41.9429209232,41.9427199364
MS,Left,left,41.9430618286,41.9429428577
MS,Left,left,44.2710618973,44.2708170414
MS,Left,right,47.4711220264,47.4709198475
MS,Left,right,47.4712629318,47.4711430073
MS,Left,left,51.3193759918,51.3191130161
MS,Left,right,54.8473598957,54.8471558094
MS,Left,right,54.8474998474,54.8473808765
MS,Left,left,56.4313719273,56.4311769009
MS,Left,left,56.431511879,56.4313929081
MS,Left,right,58.1994469166,58.1992509365
MS,Left,right,58.1995890141,58.1994688511
MS,Left,space,59.4715328217,59.4712779522
MS,Right,left,1.4741461277,1.47385621071
MS,Right,right,4.40995717049,4.40975403786
MS,Right,right,4.41009807587,4.40997815132
MS,Right,space,6.36200118065,6.36180210114
MS,Right,space,6.36214017868,6.36202216148
MS,Right,left,7.9940571785,7.9938621521
MS,Right,left,7.99419522285,7.99407815933
MS,Right,right,10.8981411457,10.8979420662
MS,Right,right,10.8982801437,10.8981630802
MS,Right,left,12.4101560116,12.4099621773
MS,Right,left,12.4102971554,12.4101772308
MS,Right,right,15.594378233,15.5941262245
MS,Right,left,16.9543910027,16.9541471004
MS,Right,right,18.7464351654,18.7461900711
MS,Right,left,21.7785310745,21.7782862186
MS,Right,right,23.9466090202,23.9463682175
MS,Right,left,26.2427091599,26.2424631119
MS,Right,right,28.778783083,28.778537035
MS,Right,right,30.9549012184,30.9546320438
MS,Right,left,32.0507800579,32.0505871773
MS,Right,left,32.0509190559,32.0508010387
MS,Right,space,34.2268731594,34.2266750336
MS,Right,space,34.2270131111,34.2268941402
MS,Right,space,38.1470751762,38.1468200684
MS,Right,right,39.059043169,39.0588040352
MS,Right,right,42.8271892071,42.8269371986
MS,Right,left,44.107199192,44.1069571972
MS,Right,space,46.3472921848,46.3470470905
MS,Right,left,48.6353940964,48.6351490021
MS,Right,right,49.7473080158,49.7471170425
MS,Right,right,49.7474532127,49.7473292351
MS,Right,space,51.4354372025,51.4351961613
MS,Right,space,56.6276521683,56.6274001598
MS,Left,left,1.12622499466,1.12598085403
MS,Left,left,1.12636780739,1.12624692917
