ParticipantID,Condition,PressedKey,TrialTime,StampedTime
RH,Left,right,5.38219594955,5.38187980652
RH,Left,right,5.3823390007,5.38221883774
RH,Left,left,11.9339718819,11.9337198734
RH,Left,left,11.9341127872,11.9339938164
RH,Left,right,14.6699209213,14.6697039604
RH,Left,right,14.6700639725,14.6699438095
RH,Left,left,16.9579927921,16.957736969
RH,Left,space,19.6460618973,19.6458489895
RH,Left,space,19.6462049484,19.6460838318
RH,Left,left,21.110175848,21.1099209785
RH,Left,right,22.4141948223,22.413946867
RH,Left,space,26.6623668671,26.6621549129
RH,Left,space,26.6625077724,26.6623888016
RH,Left,right,27.3742489815,27.3740539551
RH,Left,right,27.3743889332,27.374270916
RH,Left,left,27.9822778702,27.9820828438
RH,Left,left,27.9824199677,27.9822998047
RH,Left,right,31.0624399185,31.0622138977
RH,Left,right,31.0625858307,31.062461853
RH,Left,right,33.7185738087,33.7183117867
RH,Left,left,35.7665779591,35.7663547993
RH,Left,left,35.7667188644,35.7665998936
RH,Left,right,40.3268399239,40.326556921
RH,Left,left,43.7828779221,43.7826209068
RH,Left,right,45.1508569717,45.150608778
RH,Left,left,46.7349479198,46.7346978188
RH,Left,right,49.9830429554,49.9827868938
RH,Left,left,52.0551018715,52.0548379421
RH,Left,right,55.2391939163,55.2389388084
RH,Left,left,59.071325779,59.0710999966
RH,Left,left,59.0714669228,59.0713469982
RH,Right,right,3.0693089962,3.06901288033
RH,Right,left,4.11716294289,4.11691498756
RH,Right,right,6.50120902061,6.50100398064
RH,Right,right,6.50134992599,6.50123095512
RH,Right,left,7.88528990746,7.88504099846
RH,Right,right,8.98125195503,8.98105502129
RH,Right,right,8.98139309883,8.98127388954
RH,Right,left,11.6453640461,11.6451580524
RH,Right,left,11.6455039978,11.6453850269
RH,Right,right,14.4135100842,14.4132540226
RH,Right,left,16.3815340996,16.3812830448
RH,Right,right,18.2615919113,18.261343956
RH,Right,left,19.4376208782,19.4373669624
RH,Right,right,20.4776580334,20.477408886
RH,Right,left,24.2138400078,24.2135829926
RH,Right,right,26.3658490181,26.3655979633
RH,Right,left,28.9659519196,28.9656999111
RH,Right,right,32.7660610676,32.7658081055
RH,Right,left,35.0781428814,35.0778930187
RH,Right,right,36.3581440449,36.3578879833
RH,Right,left,38.7342910767,38.7340250015
RH,Right,right,42.7263860703,42.726131916
RH,Right,left,43.8303229809,43.8301229477
RH,Right,left,43.8304629326,43.8303449154
RH,Right,right,46.1344089508,46.1342060566
RH,Right,right,46.1345489025,46.1344308853
RH,Right,left,48.4145560265,48.4142990112
RH,Right,right,50.0945689678,50.0943200588
RH,Right,left,51.2945799828,51.2943339348
RH,Right,right,53.4306950569,53.4304471016
RH,Right,left,56.150701046,56.1504991055
RH,Right,left,56.1508419514,56.1507239342
RH,Right,right,58.6708619595,58.6706020832
RH,Right,left,1.39337110519,1.39307904243
RH,Right,right,3.69732093811,3.69706606865
RH,Right,left,5.51332211494,5.51307106018
RH,Right,right,8.16934204102,8.16913700104
RH,Right,right,8.1694829464,8.16936302185
RH,Right,left,10.5214221478,10.5212199688
RH,Right,left,10.5215620995,10.5214431286
RH,Right,right,12.0415279865,12.0412819386
RH,Right,right,15.5776541233,15.5773899555
RH,Right,left,17.0896539688,17.0894069672
RH,Right,right,18.5858230591,18.585547924
RH,Right,left,20.385751009,20.3855011463
RH,Right,right,22.5778491497,22.5775909424
RH,Right,left,24.6339769363,24.6337180138
RH,Right,right,25.5058641434,25.5056669712
RH,Right,right,25.5060050488,25.5058851242
RH,Right,left,28.4661099911,28.4658479691
RH,Right,right,30.8261139393,30.8258609772
RH,Right,left,34.8742721081,34.8740150928
RH,Right,right,41.2584090233,41.2581939697
RH,Right,right,41.2585499287,41.2584309578
RH,Right,left,44.1144630909,44.1142539978
RH,Right,left,44.1146039963,44.1144850254
RH,Right,right,48.5946800709,48.5944509506
RH,Right,right,48.5948240757,48.5947020054
RH,Right,left,50.1307029724,50.1304521561
RH,Right,right,53.6188650131,53.6186051369
RH,Left,right,1.52539992332,1.52510809898
RH,Left,left,2.82127308846,2.82102298737
RH,Left,left,7.86144208908,7.86121511459
RH,Left,left,7.86158299446,7.86146306992
RH,Left,right,11.2855939865,11.285326004
RH,Left,left,14.6215910912,14.6213788986
RH,Left,left,14.6217319965,14.6216130257
RH,Left,right,18.4618020058,18.4615399837
RH,Left,left,24.7580571175,24.7577900887
RH,Left,right,27.6701071262,27.6698479652
RH,Left,left,29.0381090641,29.0378730297
RH,Left,left,29.0382499695,29.0381309986
RH,Left,right,32.2303040028,32.2300200462
RH,Left,left,33.4862449169,33.4859800339
RH,Left,right,35.8463070393,35.8460450172
RH,Left,left,39.2143619061,39.2141439915
RH,Left,left,39.214507103,39.21438694
RH,Left,right,40.6224150658,40.6221671104
RH,Left,left,43.9985780716,43.9983201027
RH,Left,right,47.382570982,47.382365942
RH,Left,right,47.3827171326,47.3825929165
RH,Left,left,48.8865950108,48.8863949776
RH,Left,left,48.8867349625,48.8866169453
RH,Left,right,49.3906531334,49.3904089928
RH,Left,left,50.4307019711,50.4304471016
RH,Left,right,57.5269470215,57.5267310143
RH,Left,right,57.5270879269,57.526968956
RH,Left,left,59.0309901237,59.030755043
RH,Left,left,59.0311310291,59.0310111046
