ParticipantID,Condition,PressedKey,TrialTime,StampedTime
,Right,space,1.38160896301,1.38136816025
,Right,space,1.38175106049,1.38163113594
,Right,right,3.63763308525,3.63743710518
,Right,right,3.63777303696,3.63765501976
,Right,left,5.50969600677,5.50945305824
,Right,space,8.13380813599,8.13356304169
,Right,left,12.0699501038,12.0697081089
,Right,space,13.501937151,13.5016980171
,Right,right,14.4139430523,14.4136891365
,Right,space,16.9659700394,16.9657790661
,Right,space,16.9661099911,16.9659910202
,Right,left,18.8620300293,18.8618381023
,Right,left,18.8621711731,18.8620510101
,Right,space,21.6621220112,21.6619319916
,Right,space,21.662263155,21.662142992
,Right,right,26.5824100971,26.5821681023
,Right,right,26.5825541019,26.5824320316
,Right,space,28.3504071236,28.35019207
,Right,space,28.3505489826,28.3504300117
,Right,left,30.7265470028,30.7262911797
,Right,space,32.3984870911,32.3982720375
,Right,space,32.3986279964,32.3985111713
,Right,space,35.5666670799,35.566409111
,Right,left,37.6147871017,37.6145269871
,Right,space,39.3587450981,39.3584880829
,Right,right,40.9028010368,40.9025480747
,Right,space,42.8868529797,42.8866009712
,Right,space,45.65498209,45.6547291279
,Right,right,47.7989900112,47.7987751961
,Right,right,47.799131155,47.7990121841
,Right,space,49.77501297,49.774805069
,Right,space,49.7751531601,49.7750341892
,Right,right,53.3911449909,53.3909330368
,Right,right,53.391285181,53.3911671638
,Right,left,55.1592440605,55.1589910984
,Right,space,57.5914011002,57.591119051
,Left,space,1.08531498909,1.08502697945
,Left,right,4.7091999054,4.70893001556
,Left,space,5.62127184868,5.62103199959
,Left,left,7.43740105629,7.43712902069
,Left,space,10.3413460255,10.3411478996
,Left,space,10.3414859772,10.3413670063
,Left,right,19.7897310257,19.7895178795
,Left,right,19.7898719311,19.7897529602
,Left,space,20.8936760426,20.8934819698
,Left,space,20.8938159943,20.8936979771
,Left,left,23.3418390751,23.3415908813
,Left,space,25.8218090534,25.8216149807
,Left,space,25.8219490051,25.8218309879
,Left,right,26.3018610477,26.3016219139
,Left,space,28.8859848976,28.8857388496
,Left,right,32.622066021,32.6218669415
,Left,right,32.6222069263,32.6220879555
,Left,left,35.2781488895,35.2779078484
,Left,right,37.7023248672,37.7020699978
,Left,space,40.1262278557,40.1260359287
,Left,space,40.1263680458,40.1262490749
,Left,left,45.558480978,45.5582380295
,Left,space,48.126513958,48.1263210773
,Left,space,48.1266539097,48.1265368462
,Left,right,52.5026369095,52.5024449825
,Left,right,52.5027759075,52.502658844
,Left,left,53.862746954,53.8625090122
,Left,space,56.9827599525,56.9825670719
,Left,space,56.9829008579,56.9827818871
,Right,space,0.737374067307,0.737086057663
,Right,left,4.58533120155,4.58508706093
,Right,right,5.92136907578,5.92112803459
,Right,left,8.20139718056,8.20115399361
,Right,space,11.4415202141,11.4412791729
,Right,right,13.7295370102,13.7293431759
,Right,right,13.7296772003,13.729557991
,Right,left,15.4816300869,15.4813861847
,Right,space,17.353716135,17.3534622192
,Right,space,20.3056981564,20.305505991
,Right,space,20.3058381081,20.3057191372
,Right,right,22.8338630199,22.8336210251
,Right,left,25.7139070034,25.7137131691
,Right,left,25.7140481472,25.7139291763
,Right,space,26.8900010586,26.8897621632
,Right,right,33.970261097,33.9700160027
,Right,left,37.1222300529,37.122038126
,Right,left,37.122369051,37.1222510338
,Right,right,41.122410059,41.1221680641
,Right,space,43.4103910923,43.4102010727
,Right,space,43.410531044,43.4104120731
,Right,right,46.7866950035,46.7864310741
,Right,space,50.1786952019,50.178453207
,Right,left,56.954927206,56.9546802044
,Right,space,58.4669830799,58.4667429924
,Left,space,0.773418903351,0.773162841797
,Left,space,0.773561000824,0.773441791534
,Left,right,6.26945781708,6.26925182343
,Left,right,6.26959991455,6.26947999001
,Left,space,8.03757882118,8.03733491898
,Left,right,13.3576858044,13.357437849
,Left,space,16.6857099533,16.6855158806
,Left,space,16.685849905,16.6857309341
,Left,right,19.4219448566,19.4216740131
,Left,left,22.2140119076,22.2137458324
,Left,space,25.4060599804,25.4058430195
,Left,space,25.4062018394,25.4060819149
,Left,right,29.3022348881,29.3019878864
,Left,right,29.3023769855,29.3022568226
,Left,space,32.1263020039,32.1260659695
,Left,space,32.1264448166,32.126324892
,Left,right,41.790694952,41.7904419899
,Left,right,41.7908408642,41.7907209396
,Left,space,43.7826888561,43.7824289799
,Left,right,49.7028038502,49.7025878429
,Left,right,49.702944994,49.7028260231
,Left,space,51.4628260136,51.4625778198
,Left,left,52.5268559456,52.5266098976
,Left,space,55.5351319313,55.534829855
