ParticipantID,Condition,PressedKey,TrialTime,StampedTime
pm,Right,left,0.781658172607,0.781371116638
pm,Right,right,9.54981613159,9.54956698418
pm,Right,left,15.8699719906,15.8697271347
pm,Right,right,16.4780230522,16.4777841568
pm,Right,right,24.9344301224,24.9340991974
pm,Right,right,24.9345769882,24.9344542027
pm,Right,space,28.9823741913,28.982129097
pm,Right,left,30.4064080715,30.406167984
pm,Right,right,48.3108780384,48.3106760979
pm,Right,right,48.3110201359,48.3109021187
pm,Right,left,50.5749530792,50.5747611523
pm,Right,left,50.5750920773,50.5749750137
pm,Right,space,55.6871881485,55.6869430542
pm,Right,right,57.7833240032,57.7830660343
pm,Left,space,1.09143400192,1.09114098549
pm,Left,right,6.03540992737,6.0351588726
pm,Left,left,14.4196529388,14.4194009304
pm,Left,right,22.0999178886,22.0996699333
pm,Left,space,31.1801328659,31.1798899174
pm,Left,left,32.4922208786,32.4919810295
pm,Left,right,34.5722589493,34.5720200539
pm,Left,space,40.0044169426,40.0041759014
pm,Left,left,40.9164290428,40.916189909
pm,Left,right,47.6126539707,47.6124129295
pm,Left,space,55.7164530754,55.7162048817
pm,Left,left,56.9889900684,56.988740921
pm,Left,space,1.03974604607,1.03945708275
pm,Left,right,2.03158307076,2.03134202957
pm,Left,left,4.59961819649,4.599421978
pm,Left,left,4.59975814819,4.59963917732
pm,Left,right,5.83170008659,5.83145904541
pm,Left,space,7.79176402092,7.7915251255
pm,Left,space,15.351981163,15.3517420292
pm,Left,left,15.5919520855,15.5917611122
pm,Left,left,15.5920910835,15.5919730663
pm,Left,right,16.5679900646,16.567797184
pm,Left,right,16.56813097,16.5680119991
pm,Left,left,22.4802269936,22.4799861908
pm,Left,right,25.0482270718,25.0480341911
pm,Left,right,25.0483670235,25.0482490063
pm,Left,left,30.2804310322,30.2801861763
pm,Left,right,36.9525849819,36.9523890018
pm,Left,right,36.952725172,36.9526062012
pm,Left,space,41.5767891407,41.5765450001
pm,Left,left,43.6407961845,43.6406040192
pm,Left,left,43.6409389973,43.6408171654
pm,Left,space,45.2889060974,45.2886581421
pm,Left,right,46.9048919678,46.9046859741
pm,Left,right,46.9050321579,46.9049141407
pm,Left,space,50.7291080952,50.7288560867
pm,Left,left,52.0970602036,52.0968601704
pm,Left,left,52.0972001553,52.0970821381
pm,Left,right,58.0973320007,58.0970811844
pm,Right,left,0.948088884354,0.947844028473
pm,Right,left,0.948230981827,0.948112010956
pm,Right,space,12.5723950863,12.5721340179
pm,Right,right,14.3564150333,14.3562240601
pm,Right,right,14.3565609455,14.3564419746
pm,Right,space,17.0684659481,17.0682229996
pm,Right,left,20.2446670532,20.2444219589
pm,Right,space,34.2449150085,34.2447168827
pm,Right,space,34.2450559139,34.2449369431
pm,Right,right,36.1891748905,36.1889801025
pm,Right,right,36.1893250942,36.1892008781
pm,Right,space,39.0451519489,39.0449030399
pm,Right,left,40.1410908699,40.1408970356
pm,Right,left,40.14123106,40.1411120892
pm,Right,space,53.1415350437,53.1412830353
pm,Right,right,55.1495490074,55.1493570805
pm,Right,right,55.1496899128,55.1495699883
pm,Right,space,57.0376579762,57.037416935
pm,Right,left,59.2057631016,59.2055170536
