ParticipantID,VisibleHemifield,Direction,ResponseTime
CM,Left,right,1.0252969265
CM,Right,right,1.28844213486
CM,Left,right,0.837040901184
CM,Right,left,1.91686892509
CM,Left,left,1.45488715172
CM,OddLeft,right,1.76324009895
CM,Right,right,1.85843801498
CM,Left,right,1.05465483665
CM,Right,right,1.28528499603
CM,Left,right,1.07391190529
CM,OddLeft,right,1.67976307869
CM,Right,right,1.33644986153
CM,Left,left,1.66486692429
CM,Right,left,1.79738688469
CM,OddRight,right,1.79654192924
CM,Left,right,1.0008020401
CM,Right,left,2.99358105659
CM,Left,right,1.27000904083
CM,Right,left,2.13960194588
CM,OddRight,right,1.8304901123
CM,Left,right,0.967746019363
CM,Right,right,2.32976317406
CM,Left,right,0.962419986725
CM,OddLeft,right,1.93068599701
CM,Right,right,1.47531604767
CM,Left,right,1.09344983101
CM,Right,right,1.59368515015
CM,Left,right,0.857061862946
CM,Right,left,1.65529894829
CM,OddRight,right,1.7632291317
CM,Left,left,1.3465218544
CM,Right,left,2.35648202896
CM,Left,left,2.01247692108
CM,Right,right,1.74632883072
CM,Left,right,1.12351202965
CM,OddLeft,right,1.66352009773
CM,Right,right,2.11244988441
CM,Left,right,0.888045072556
CM,Right,right,1.87665295601
CM,Left,right,0.960353136063
CM,OddLeft,right,1.7298271656
CM,Right,right,1.41757106781
CM,Left,right,1.24883913994
CM,Right,right,1.40680813789
CM,Left,left,2.03790307045
CM,Right,right,1.73121190071
CM,OddLeft,right,1.6468501091
CM,Left,right,1.19975090027
CM,Right,left,2.2080051899
CM,Left,right,1.19539690018
CM,Right,left,3.3637650013
CM,OddLeft,right,1.69678902626
CM,Left,right,1.20915699005
CM,Right,right,1.54495978355
CM,Left,right,1.37849497795
CM,OddRight,right,1.81381917
CM,Right,left,2.39887809753
CM,Left,left,1.99675297737
CM,Right,right,1.41937112808
CM,OddLeft,right,1.74692797661
CM,Left,right,1.36102795601
CM,Right,left,1.84240984917
