ParticipantID,VisibleHemifield,Direction,ResponseTime
MS,Right,right,2.54302406311
MS,Left,right,1.3666779995
MS,Right,right,2.11983013153
MS,OddLeft,right,0.0277230739594
MS,Left,right,1.36033797264
MS,Right,left,2.85752010345
MS,Left,right,1.38861393929
MS,Right,right,3.39709711075
MS,OddRight,right,1.3307890892
MS,Left,right,1.37693500519
MS,Right,right,2.22506189346
MS,Left,left,1.84625697136
MS,OddLeft,left,0.0277118682861
MS,Right,right,2.64768505096
MS,Left,right,1.00290799141
MS,Right,right,1.41973495483
MS,Left,right,0.906723976135
MS,Right,left,1.88688707352
MS,OddLeft,right,1.43097114563
MS,Left,right,1.23019599915
MS,Right,right,2.46899604797
MS,Left,right,1.11224293709
MS,Right,right,1.99584102631
MS,OddLeft,right,1.36369895935
MS,Left,left,2.12922906876
MS,Right,right,1.46380591393
MS,Left,right,1.22884511948
MS,Right,right,2.49959111214
MS,Left,right,1.54946112633
MS,OddRight,right,1.33077096939
MS,Right,left,2.87892413139
MS,Left,right,0.912578105927
MS,Right,right,1.2926170826
MS,Left,left,2.34474420547
MS,OddRight,right,1.33074307442
MS,Right,left,3.44875001907
MS,Left,right,1.10650205612
MS,Right,right,3.03587794304
MS,OddRight,right,0.0277860164642
MS,Left,right,1.16596007347
MS,Right,right,2.48735809326
MS,Left,right,1.26604199409
MS,OddRight,right,1.39701604843
MS,Right,right,2.78045511246
MS,Left,right,1.0823340416
MS,Right,right,1.25532793999
MS,Left,left,1.68541407585
MS,Right,right,1.6250231266
MS,OddRight,right,1.36370706558
MS,Left,right,1.41408586502
MS,Right,right,1.43509197235
MS,Left,right,1.23329377174
MS,Right,right,3.10372304916
MS,OddRight,right,1.29732489586
MS,Left,left,2.42617106438
MS,Right,left,2.96648097038
MS,Left,right,1.33272409439
MS,OddLeft,right,1.39706087112
MS,Right,left,3.95657014847
MS,Left,left,2.49749088287
MS,Right,left,2.52314996719
MS,Left,right,2.35623192787
MS,OddLeft,right,1.56413602829
