ParticipantID,VisibleHemifield,Direction,ResponseTime
ms,Right,left,3.1060590744
ms,Left,left,2.09051513672
ms,Right,left,2.22898101807
ms,Left,left,2.41780090332
ms,Right,left,2.84697389603
ms,OddLeft,right,1.34503793716
ms,Left,right,2.66538095474
ms,Right,right,1.61211585999
ms,Left,right,1.25073099136
ms,Right,right,1.40084505081
ms,Left,right,0.768640041351
ms,OddLeft,right,1.32831597328
ms,Right,left,2.48104286194
ms,Left,right,1.38730597496
ms,Right,right,1.38778281212
ms,Left,right,1.03619289398
ms,Right,right,1.37155795097
ms,OddRight,right,1.32876706123
ms,Left,right,1.39601016045
ms,Right,left,3.26789617538
ms,Left,right,1.99733519554
ms,Left,right,1.33205485344
ms,OddRight,right,0.0257630348206
ms,Right,left,2.30142688751
ms,Right,left,2.64526510239
ms,Left,right,1.16836595535
ms,OddLeft,right,0.0257389545441
ms,Left,left,2.29661297798
ms,Right,right,2.90668296814
ms,Left,right,1.68367290497
ms,Right,right,1.67165493965
ms,OddLeft,right,1.34506607056
ms,Right,left,2.95553016663
ms,Left,right,1.15435314178
ms,Left,left,3.50881910324
ms,Right,left,2.7076561451
ms,OddRight,left,0.0257980823517
ms,Right,right,1.28065109253
ms,Left,right,1.22915792465
ms,Right,left,2.43618583679
ms,Left,right,1.2566421032
ms,OddRight,right,1.41180801392
ms,Left,right,1.27459597588
ms,Right,left,3.43930387497
ms,Left,right,2.20990800858
ms,Right,left,2.73545789719
ms,OddLeft,right,1.31209182739
ms,Right,right,3.37607598305
ms,Left,right,1.43671011925
ms,Left,right,1.03290510178
ms,Right,left,2.49606108665
ms,Left,right,1.1776509285
ms,OddRight,right,1.41174912453
ms,Right,left,3.56730604172
ms,Right,right,2.14821219444
ms,Left,right,1.15644097328
ms,OddLeft,right,0.0257611274719
ms,Left,left,1.90065097809
ms,Right,right,2.95959401131
ms,Right,right,1.25376701355
ms,Left,right,1.81973314285
ms,OddLeft,right,1.3621430397
