ParticipantID,VisibleHemifield,Direction,ResponseTime
CM,Right,right,1.31166505814
CM,Left,left,1.57814216614
CM,Left,right,1.69752383232
CM,Right,right,1.34015989304
CM,Left,right,1.76523804665
CM,Right,left,1.83717608452
CM,Left,right,1.63389492035
CM,Right,left,2.91942381859
CM,Right,right,2.13478398323
CM,Left,left,3.18313598633
CM,Right,right,2.23411393166
CM,Left,right,1.06209802628
CM,Right,left,2.00313687325
CM,Left,right,2.21730279922
CM,Right,left,2.03805589676
CM,Left,right,1.41056108475
CM,Right,left,3.19305706024
CM,Left,left,2.58868384361
CM,Left,right,1.38616895676
CM,Right,left,2.25003886223
CM,Left,right,1.07586097717
CM,Right,left,3.27232599258
CM,Right,right,1.48920607567
CM,Left,left,3.07605600357
CM,Left,right,1.06074285507
CM,Right,right,1.54592204094
CM,Left,left,3.1466012001
CM,Right,left,1.38424110413
CM,Right,right,2.12818288803
CM,Left,right,1.53644704819
CM,Right,right,1.45645904541
CM,Left,right,1.18067383766
CM,Left,left,1.79691886902
CM,Right,right,1.33142209053
CM,Right,right,1.29319787025
CM,Left,right,1.06447601318
CM,Left,left,1.56575989723
CM,Right,right,1.0777630806
CM,Right,right,1.73819684982
CM,Left,right,1.33846902847
CM,Left,right,0.962192773819
CM,Right,right,1.32348299026
CM,Right,left,2.07747912407
CM,Left,right,0.855851888657
CM,Left,right,1.46945285797
CM,Right,right,1.57783508301
CM,Right,left,1.3771238327
CM,Left,right,1.19294404984
CM,Left,left,2.44813799858
CM,Right,left,2.23555183411
