ParticipantID,VisibleHemifield,Direction,ResponseTime
RH,Right,right,1.11752700806
RH,Left,right,2.19254302979
RH,Left,right,2.75805282593
RH,Right,right,1.20390105247
RH,Right,right,1.40272903442
RH,Left,left,2.19365978241
RH,Right,right,1.39940214157
RH,Left,right,1.13440084457
RH,Left,right,1.13661813736
RH,Right,right,1.21825313568
RH,Left,right,1.64752221107
RH,Right,right,1.0520658493
RH,Left,right,1.25803995132
RH,Right,right,1.39062595367
RH,Left,right,1.16566419601
RH,Right,right,1.12659907341
RH,Right,left,1.75283503532
RH,Left,left,3.52134609222
RH,Left,left,1.77578306198
RH,Right,right,1.42263197899
RH,Right,left,1.87504696846
RH,Left,right,1.63788700104
RH,Left,right,1.2425160408
RH,Right,right,1.27978992462
RH,Left,right,1.25191688538
RH,Right,left,1.82506394386
RH,Right,right,1.46215701103
RH,Left,right,1.09852719307
RH,Right,left,1.29397511482
RH,Left,left,2.9376308918
RH,Left,right,1.23068499565
RH,Right,right,1.06078791618
RH,Left,left,2.04201197624
RH,Right,left,1.48572301865
RH,Right,right,1.60945296288
RH,Left,right,1.7355389595
RH,Right,left,1.67253518105
RH,Left,right,1.90772914886
RH,Left,left,1.70121097565
RH,Right,right,1.27185988426
RH,Right,right,1.75427412987
RH,Left,right,1.44187808037
RH,Right,left,1.65486192703
RH,Left,left,3.27507400513
RH,Left,right,1.61119103432
RH,Right,right,1.36907815933
RH,Left,right,1.36157917976
RH,Right,left,1.59421110153
RH,Left,right,2.29681801796
RH,Right,right,1.17819809914
