StairLoop.thisTrialN,StairLoop.stepSize,StairLoop.intensity,StairLoop2.thisTrialN,StairLoop2.stepSize,StairLoop2.intensity,thisRow.t,notes,Intro.started,Instructions.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Left.started,Arrow.started,key_resp.started,Left.stopped,StairLoop.response,key_resp.rt,Pre_SecondBlock.started,key_resp_3.started,Change_eye.started,Pre_SecondBlock.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Right.started,Arrow2.started,Key_Resp2.started,Right.stopped,StairLoop2.response,Key_Resp2.rt,End.started,End.stopped,participant,Age,Gender(M/F/N),Dominant Eye(L/R),Handedness(L/R),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.0028361999999901855,0.006290400000011687,0.006290400000011687,11.32374390000001,space,11.227349799999985,None,,,,,,,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
0,0.6,1.0,,,,11.328998299999995,,,,,,,,,11.323938499999997,11.328998299999995,11.328998299999995,12.75063449999999,1,1.4108541999999886,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
1,0.6,0.251188643150958,,,,12.76672339999999,,,,,,,,,12.750927700000005,12.76672339999999,12.76672339999999,13.550955899999991,1,0.7677161000000012,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
2,0.6,0.06309573444801933,,,,13.566752000000008,,,,,,,,,13.551091799999995,13.566752000000008,13.566752000000008,14.117352900000014,1,0.5464431000000047,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
3,0.6,0.015848931924611138,,,,14.132932100000005,,,,,,,,,14.117483499999992,14.132932100000005,14.132932100000005,15.00162689999999,1,0.867212099999989,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
4,0.6,0.003981071705534973,,,,15.016687100000013,,,,,,,,,15.00187249999999,15.016687100000013,15.016687100000013,24.283573899999993,1,9.257754299999988,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
5,0.4,0.0010000000000000002,,,,24.29936839999999,,,,,,,,,24.283753899999994,24.29936839999999,24.29936839999999,25.933817199999993,0,1.6222170000000062,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
6,0.4,0.0025118864315095807,,,,25.949702000000002,,,,,,,,,25.933971600000007,25.949702000000002,25.949702000000002,27.517707400000006,0,1.5605436000000168,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
7,0.4,0.006309573444801934,,,,27.533006400000005,,,,,,,,,27.518023999999997,27.533006400000005,27.533006400000005,28.351291599999996,0,0.8011800000000164,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
8,0.4,0.015848931924611138,,,,28.366185599999994,,,,,,,,,28.351628599999998,28.366185599999994,28.366185599999994,29.28349460000001,1,0.9132381000000009,,,,,,,,,,,,,,,,AK,45,M,R,R,2025-02-14_11h24.28.427,ContrastSen,2024.2.4,60.116927423844885,2025-02-14 11h24.53.653479 +0000,
