62.3179 	INFO 	Loaded monitor calibration from ['2024_07_05 16:35']
62.3307 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
62.9904 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019AB35C9C90>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019AB35C9C30>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019ABDC3D330>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
62.9905 	EXP 	window1: backgroundImage = ''
62.9906 	EXP 	window1: backgroundFit = 'none'
63.1568 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
63.1569 	EXP 	window1: recordFrameIntervals = False
63.2955 	EXP 	window1: recordFrameIntervals = True
63.4790 	EXP 	Screen (0) actual frame rate measured at 60.11Hz
63.4791 	EXP 	window1: recordFrameIntervals = False
67.3964 	INFO 	keyboard.Keyboard is using iohub backend.
67.3964 	INFO 	keyboard.Keyboard is using iohub backend.
67.3965 	INFO 	keyboard.Keyboard is using iohub backend.
67.3965 	INFO 	keyboard.Keyboard is using iohub backend.
67.3965 	INFO 	keyboard.Keyboard is using iohub backend.
67.3965 	EXP 	ContrastSen: status = STARTED
67.5312 	EXP 	Created Instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
