StairLoop.thisTrialN,StairLoop.stepSize,StairLoop.intensity,StairLoop2.thisTrialN,StairLoop2.stepSize,StairLoop2.intensity,thisRow.t,notes,Intro.started,Instructions.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Left.started,Arrow.started,key_resp.started,Left.stopped,StairLoop.response,key_resp.rt,Pre_SecondBlock.started,key_resp_3.started,Change_eye.started,Pre_SecondBlock.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Right.started,Arrow2.started,Key_Resp2.started,Right.stopped,StairLoop2.response,Key_Resp2.rt,End.started,End.stopped,participant,Age,Gender(M/F/N),Dominant Eye(L/R),Handedness(L/R),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.0027594000000590313,0.007692000000020016,0.007692000000020016,6.926850300000069,space,6.894785700000057,None,,,,,,,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
0,0.6,1.0,,,,6.93154340000001,,,,,,,,,6.9270914000001085,6.93154340000001,6.93154340000001,8.957941900000037,1,2.0155787999999575,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
1,0.6,0.251188643150958,,,,8.973664400000075,,,,,,,,,8.958138300000087,8.973664400000075,8.973664400000075,9.713770600000089,1,0.7346135999999888,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
2,0.6,0.06309573444801933,,,,9.723865900000078,,,,,,,,,9.714345900000012,9.723865900000078,9.723865900000078,11.059197900000072,1,1.332091099999957,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
3,0.6,0.015848931924611138,,,,11.073683300000084,,,,,,,,,11.059580100000062,11.073683300000084,11.073683300000084,12.292670200000089,1,1.2055855999999494,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
4,0.4,0.003981071705534973,,,,12.307449800000086,,,,,,,,,12.293060600000103,12.307449800000086,12.307449800000086,13.9104959,0,1.5940570000000207,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
5,0.4,0.010000000000000002,,,,13.92369830000007,,,,,,,,,13.910911300000066,13.92369830000007,13.92369830000007,14.960066300000108,1,1.0196922000000086,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
6,0.4,0.010000000000000002,,,,14.973543600000085,,,,,,,,,14.96044930000005,14.973543600000085,14.973543600000085,18.326374700000088,0,3.3504113999999845,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
7,0.4,0.025118864315095805,,,,18.340206700000067,,,,,,,,,18.326746500000013,18.340206700000067,18.340206700000067,19.04241730000001,1,0.6943837999999687,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
8,0.4,0.025118864315095805,,,,19.057214000000045,,,,,,,,,19.042753400000038,19.057214000000045,19.057214000000045,19.759538500000076,1,0.6939741999999569,,,,,,,,,,,,,,,,JB,19,F,R,R,2025-02-26_11h17.30.020,ContrastSen,2024.2.4,60.21752980469782,2025-02-26 11h17.51.815049 +0000,
