StairLoop.thisTrialN,StairLoop.stepSize,StairLoop.intensity,StairLoop2.thisTrialN,StairLoop2.stepSize,StairLoop2.intensity,thisRow.t,notes,Intro.started,Instructions.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Left.started,Arrow.started,key_resp.started,Left.stopped,StairLoop.response,key_resp.rt,Pre_SecondBlock.started,key_resp_3.started,Change_eye.started,Pre_SecondBlock.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Right.started,Arrow2.started,Key_Resp2.started,Right.stopped,StairLoop2.response,Key_Resp2.rt,End.started,End.stopped,participant,Age,Gender(M/F/N),Dominant Eye(L/R),Handedness(L/R),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.10938180000812281,0.12792759999865666,0.12792759999865666,16.91658840001037,space,16.628989000004367,None,,,,,,,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
0,0.6,1.0,,,,16.922473600003286,,,,,,,,,16.9168570000038,16.922473600003286,16.922473600003286,17.928455700006452,1,0.9871846000023652,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
1,0.6,0.251188643150958,,,,17.94193539999833,,,,,,,,,17.928987200008123,17.94193539999833,17.94193539999833,18.810573300012038,1,0.8556876999937231,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
2,0.6,0.06309573444801933,,,,18.824929000009433,,,,,,,,,18.810960900009377,18.824929000009433,18.824929000009433,19.62610059999861,1,0.7895828000037,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
3,0.6,0.015848931924611138,,,,19.641358400011086,,,,,,,,,19.626307099999394,19.641358400011086,19.641358400011086,21.462159600007,1,1.8029941000131657,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
4,0.4,0.003981071705534973,,,,21.474838000009186,,,,,,,,,21.46284610001021,21.474838000009186,21.474838000009186,30.110461400006898,0,8.618570700011333,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
5,0.4,0.010000000000000002,,,,30.125024100008886,,,,,,,,,30.11094180001237,30.125024100008886,30.125024100008886,35.54516050001257,0,5.416085899996688,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
6,0.4,0.025118864315095805,,,,35.5580362000037,,,,,,,,,35.545548400012194,35.5580362000037,35.5580362000037,37.42775600000459,1,1.8548462000035215,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
7,0.4,0.025118864315095805,,,,37.44153430000006,,,,,,,,,37.428264000001946,37.44153430000006,37.44153430000006,38.243429300011485,1,0.7960175000043819,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
8,0.4,0.025118864315095805,,,,38.25813590000325,,,,,,,,,38.2438189000095,38.25813590000325,38.25813590000325,38.87542409999878,1,0.6140045000065584,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
9,0.2,0.010000000000000002,,,,38.88037959999929,,,,,,,,,38.875612500007264,38.88037959999929,38.88037959999929,40.243724300002214,0,1.3537035000044852,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
10,0.2,0.015848931924611138,,,,40.257983300005435,,,,,,,,,40.24419789999956,40.257983300005435,40.257983300005435,41.69422270001087,1,1.4332768000022043,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
11,0.2,0.015848931924611138,,,,41.7080535999994,,,,,,,,,41.69452160000219,41.7080535999994,41.7080535999994,42.81000009999843,0,1.0924104000005173,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
12,0.2,0.025118864315095808,,,,42.82461530000728,,,,,,,,,42.810367199999746,42.82461530000728,42.82461530000728,45.19352150001214,1,2.3516608999925666,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
13,0.2,0.025118864315095808,,,,45.20814010000322,,,,,,,,,45.19389690000389,45.20814010000322,45.20814010000322,46.47591540000576,1,1.2658859999937704,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
14,0.1,0.025118864315095808,,,,46.49082590000762,,,,,,,,,46.47621950000757,46.49082590000762,46.49082590000762,47.177526400002535,1,0.6806549000029918,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
15,0.1,0.019952623149688802,,,,47.19118390000949,,,,,,,,,47.17794649999996,47.19118390000949,47.19118390000949,47.8771332000033,1,0.6699637999990955,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
16,0.1,0.019952623149688802,,,,47.89119790001132,,,,,,,,,47.877453799999785,47.89119790001132,47.89119790001132,49.727390800006106,1,1.8199071000126423,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
17,0.1,0.019952623149688802,,,,49.741337200001,,,,,,,,,49.72785500000464,49.741337200001,49.741337200001,50.861257299999124,1,1.1087867000023834,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
18,0.1,0.015848931924611138,,,,50.874491100010346,,,,,,,,,50.86175409999851,50.874491100010346,50.874491100010346,51.860204700002214,1,0.9782739000074798,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
19,0.1,0.015848931924611138,,,,51.87422409999999,,,,,,,,,51.86054629999853,51.87422409999999,51.87422409999999,52.86162910000712,1,0.982541500008665,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
20,0.1,0.015848931924611138,,,,52.87412100000074,,,,,,,,,52.86204010000802,52.87412100000074,52.87412100000074,54.125124800004414,1,1.2380268999986583,,,,,,,,,,,,,,,,KM,19,F,R,L,2025-02-27_13h35.39.787,ContrastSen,2024.2.4,60.061827645945066,2025-02-27 13h36.15.145123 +0000,
