StairLoop.thisTrialN,StairLoop.stepSize,StairLoop.intensity,StairLoop2.thisTrialN,StairLoop2.stepSize,StairLoop2.intensity,thisRow.t,notes,Intro.started,Instructions.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Left.started,Arrow.started,key_resp.started,Left.stopped,StairLoop.response,key_resp.rt,Pre_SecondBlock.started,key_resp_3.started,Change_eye.started,Pre_SecondBlock.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Right.started,Arrow2.started,Key_Resp2.started,Right.stopped,StairLoop2.response,Key_Resp2.rt,End.started,End.stopped,participant,Age,Gender(M/F/N),Dominant Eye(L/R),Handedness(L/R),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.0027177000883966684,0.006751700071617961,0.006751700071617961,23.130249400041066,right,22.964159599971026,None,,,,,,,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
0,0.6,1.0,,,,23.134672500076704,,,,,,,,,23.130470600095578,23.134672500076704,23.134672500076704,23.190050100092776,1,0.045346800005063415,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
1,0.6,0.251188643150958,,,,23.204059400013648,,,,,,,,,23.190605400013737,23.204059400013648,23.204059400013648,24.37302660010755,1,1.1540952998911962,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
2,0.6,0.06309573444801933,,,,24.38786500005517,,,,,,,,,24.37329460005276,24.38786500005517,24.38786500005517,25.022354200016707,1,0.6334738000296056,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
3,0.6,0.015848931924611138,,,,25.037662700051442,,,,,,,,,25.022551400004886,25.037662700051442,25.037662700051442,26.806181200081483,1,1.7524073000531644,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
4,0.4,0.003981071705534973,,,,26.82130470010452,,,,,,,,,26.80649310001172,26.82130470010452,26.82130470010452,28.42248610011302,0,1.5965354999061674,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
5,0.4,0.010000000000000002,,,,28.43768920004368,,,,,,,,,28.422757400083356,28.43768920004368,28.43768920004368,30.93947210011538,0,2.5003206999972463,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
6,0.4,0.025118864315095805,,,,30.954408000106923,,,,,,,,,30.939627400017343,30.954408000106923,30.954408000106923,31.87163990002591,1,0.9133704999694601,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
7,0.4,0.025118864315095805,,,,31.88747230009176,,,,,,,,,31.87178180005867,31.88747230009176,31.88747230009176,32.55571940005757,1,0.6581051000393927,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
8,0.4,0.025118864315095805,,,,32.57109640003182,,,,,,,,,32.55597700004,32.57109640003182,32.57109640003182,33.638842200045474,1,1.059894400066696,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
9,0.4,0.010000000000000002,,,,33.65430760011077,,,,,,,,,33.63906970003154,33.65430760011077,33.65430760011077,35.07183350005653,1,1.4139953000703827,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
10,0.2,0.010000000000000002,,,,35.0875688000815,,,,,,,,,35.07202160009183,35.0875688000815,35.0875688000815,36.05530360003468,0,0.9549014000222087,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
11,0.2,0.015848931924611138,,,,36.07092940004077,,,,,,,,,36.055495500098914,36.07092940004077,36.07092940004077,37.22187930007931,1,1.1480804000748321,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
12,0.2,0.015848931924611138,,,,37.23747110005934,,,,,,,,,37.22205570002552,37.23747110005934,37.23747110005934,38.6548542000819,1,1.4004627999383956,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
13,0.1,0.015848931924611138,,,,38.670786300092004,,,,,,,,,38.65500620007515,38.670786300092004,38.670786300092004,41.839157100068405,1,3.164037000038661,,,,,,,,,,,,,,,,LB,19,F,R,R,2025-02-25_13h29.09.258,ContrastSen,2024.2.4,59.970986053393155,2025-02-25 13h29.40.427942 +0000,
