53.4479 	INFO 	Loaded monitor calibration from ['2024_07_05 16:35']
53.4884 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
54.9332 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017705735D20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017705735CC0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000017706C2D3C0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
54.9333 	EXP 	window1: backgroundImage = ''
54.9333 	EXP 	window1: backgroundFit = 'none'
55.1022 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
55.1023 	EXP 	window1: recordFrameIntervals = False
55.2384 	EXP 	window1: recordFrameIntervals = True
55.4221 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
55.4221 	EXP 	window1: recordFrameIntervals = False
60.0290 	INFO 	keyboard.Keyboard is using iohub backend.
60.0290 	INFO 	keyboard.Keyboard is using iohub backend.
60.0290 	INFO 	keyboard.Keyboard is using iohub backend.
60.0291 	INFO 	keyboard.Keyboard is using iohub backend.
60.0291 	INFO 	keyboard.Keyboard is using iohub backend.
60.0291 	EXP 	ContrastSen: status = STARTED
60.5821 	EXP 	Created Instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
60.5903 	EXP 	Created Arrow = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Arrow', opacity=1, ori=1.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
60.5985 	EXP 	Created Change_eye = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Change_eye', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
60.5998 	EXP 	Created Arrow2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Arrow2', opacity=1, ori=1.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0071 	INFO 	Keyboard events cleared
0.0068 	EXP 	Instructions: autoDraw = True
23.1323 	DATA 	Keypress: right
23.1352 	INFO 	Keyboard events cleared
23.1347 	EXP 	Instructions: autoDraw = False
23.1347 	EXP 	Arrow: ori = 90.0
23.1347 	EXP 	Arrow: autoDraw = True
23.1942 	DATA 	Keypress: right
23.2054 	INFO 	Keyboard events cleared
23.2041 	EXP 	Arrow: autoDraw = False
