90.1808 	INFO 	Loaded monitor calibration from ['2024_07_05 16:35']
90.2678 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
91.3078 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002892ADD5CF0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002892ADD5C90>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002893544D390>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
91.3079 	EXP 	window1: backgroundImage = ''
91.3080 	EXP 	window1: backgroundFit = 'none'
91.4612 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
91.4613 	EXP 	window1: recordFrameIntervals = False
91.6246 	EXP 	window1: recordFrameIntervals = True
91.8087 	EXP 	Screen (0) actual frame rate measured at 60.02Hz
91.8088 	EXP 	window1: recordFrameIntervals = False
96.5592 	INFO 	keyboard.Keyboard is using iohub backend.
96.5593 	INFO 	keyboard.Keyboard is using iohub backend.
96.5594 	INFO 	keyboard.Keyboard is using iohub backend.
96.5594 	INFO 	keyboard.Keyboard is using iohub backend.
96.5595 	INFO 	keyboard.Keyboard is using iohub backend.
96.5595 	EXP 	ContrastSen: status = STARTED
96.7963 	EXP 	Created Instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
96.8055 	EXP 	Created Arrow = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Arrow', opacity=1, ori=1.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
96.8140 	EXP 	Created Change_eye = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Change_eye', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
96.8152 	EXP 	Created Arrow2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Arrow2', opacity=1, ori=1.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0068 	INFO 	Keyboard events cleared
0.0065 	EXP 	Instructions: autoDraw = True
25.6286 	DATA 	Keypress: right
25.6321 	INFO 	Keyboard events cleared
25.6314 	EXP 	Instructions: autoDraw = False
25.6314 	EXP 	Arrow: ori = 180.0
25.6314 	EXP 	Arrow: autoDraw = True
26.5163 	DATA 	Keypress: down
26.5268 	INFO 	Keyboard events cleared
26.5258 	EXP 	Arrow: autoDraw = False
26.5258 	EXP 	Arrow: ori = 270.0
26.5258 	EXP 	Arrow: autoDraw = True
27.3666 	DATA 	Keypress: left
27.3767 	INFO 	Keyboard events cleared
27.3756 	EXP 	Arrow: autoDraw = False
27.3756 	EXP 	Arrow: ori = 180.0
27.3756 	EXP 	Arrow: autoDraw = True
28.1509 	DATA 	Keypress: down
28.1598 	INFO 	Keyboard events cleared
28.1588 	EXP 	Arrow: autoDraw = False
28.1588 	EXP 	Arrow: ori = 270.0
28.1588 	EXP 	Arrow: autoDraw = True
29.0493 	DATA 	Keypress: left
