StairLoop.thisTrialN,StairLoop.stepSize,StairLoop.intensity,StairLoop2.thisTrialN,StairLoop2.stepSize,StairLoop2.intensity,thisRow.t,notes,Intro.started,Instructions.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Left.started,Arrow.started,key_resp.started,Left.stopped,StairLoop.response,key_resp.rt,Pre_SecondBlock.started,key_resp_3.started,Change_eye.started,Pre_SecondBlock.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Right.started,Arrow2.started,Key_Resp2.started,Right.stopped,StairLoop2.response,Key_Resp2.rt,End.started,End.stopped,participant,Age,Gender(M/F/N),Dominant Eye(L/R),Handedness(L/R),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.003014200017787516,0.0066439000074751675,0.0066439000074751675,11.127739399991697,right,10.98967970002559,None,,,,,,,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
0,0.6,1.0,,,,11.13291179999942,,,,,,,,,11.127990200009663,11.13291179999942,11.13291179999942,13.200291999994079,1,2.0612817000073846,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
1,0.6,0.251188643150958,,,,13.214926200016635,,,,,,,,,13.20067960000597,13.214926200016635,13.214926200016635,17.268052700004773,1,4.037327900005039,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
2,0.6,0.06309573444801933,,,,17.281011999992188,,,,,,,,,17.268458300008206,17.281011999992188,17.281011999992188,19.000767499994254,1,1.708351200009929,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
3,0.6,0.015848931924611138,,,,19.014557299989974,,,,,,,,,19.001267000014195,19.014557299989974,19.014557299989974,19.867563000007067,1,0.8504972000082489,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
4,0.4,0.003981071705534973,,,,19.880942000017967,,,,,,,,,19.867927699990105,19.880942000017967,19.880942000017967,23.017080999998143,0,3.1200205000059213,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
5,0.4,0.010000000000000002,,,,23.030958199989982,,,,,,,,,23.01754100000835,23.030958199989982,23.030958199989982,25.066606000007596,1,2.0192205000203103,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
6,0.4,0.010000000000000002,,,,25.0811357999919,,,,,,,,,25.067000700015342,25.0811357999919,25.0811357999919,27.26664129999699,0,2.169926000002306,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
7,0.4,0.025118864315095805,,,,27.281002000003355,,,,,,,,,27.267047600005753,27.281002000003355,27.281002000003355,28.300120900006732,1,1.0041558000084478,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
8,0.4,0.025118864315095805,,,,28.313942100008717,,,,,,,,,28.300562199990964,28.313942100008717,28.313942100008717,29.767419200012228,1,1.4382212999917101,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
9,0.4,0.025118864315095805,,,,29.78096150001511,,,,,,,,,29.767960400000447,29.78096150001511,29.78096150001511,32.00062530001742,1,2.202516800025478,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
10,0.4,0.010000000000000002,,,,32.014477199991234,,,,,,,,,32.001072100014426,32.014477199991234,32.014477199991234,32.901301100006094,1,0.8833281999977771,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
11,0.2,0.010000000000000002,,,,32.91426879999926,,,,,,,,,32.90177749999566,32.91426879999926,32.91426879999926,36.11775619999389,0,3.196492600021884,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
12,0.2,0.015848931924611138,,,,36.130800300015835,,,,,,,,,36.11825980001595,36.130800300015835,36.130800300015835,38.90105539999786,1,2.7674125999910757,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
13,0.2,0.015848931924611138,,,,38.91389409999829,,,,,,,,,38.90151270001661,38.91389409999829,38.91389409999829,40.100874299998395,1,1.1805533999868203,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
14,0.1,0.015848931924611138,,,,40.11363999999594,,,,,,,,,40.10124670001096,40.11363999999594,40.11363999999594,41.58343860000605,1,1.4641068000055384,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
15,0.1,0.012589254117941673,,,,41.59735970001202,,,,,,,,,41.58386360001168,41.59735970001202,41.59735970001202,48.450416100007715,1,6.838783699990017,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
16,0.1,0.012589254117941673,,,,48.46374680000008,,,,,,,,,48.4508702000021,48.46374680000008,48.46374680000008,51.24864540001727,1,2.779700499988394,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
17,0.1,0.012589254117941673,,,,51.263406999991275,,,,,,,,,51.24892230000114,51.263406999991275,51.263406999991275,53.33099809999112,1,2.0538484000135213,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
18,0.1,0.01,,,,53.34666350000771,,,,,,,,,53.33120700001018,53.34666350000771,53.34666350000771,56.99776140000904,1,3.6467562000034377,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
19,0.1,0.01,,,,57.01330200000666,,,,,,,,,56.99798010001541,57.01330200000666,57.01330200000666,60.83327490001102,1,3.801316900004167,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
20,0.05,0.01,,,,60.84707079999498,,,,,,,,,60.83374410000397,60.84707079999498,60.84707079999498,63.86530720000155,0,3.009726300020702,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
21,0.05,0.011220184543019634,,,,63.88011090000509,,,,,,,,,63.86565819999669,63.88011090000509,63.88011090000509,69.73105699999724,1,5.844331400003284,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
22,0.05,0.011220184543019634,,,,69.74631240000599,,,,,,,,,69.73128430001088,69.74631240000599,69.74631240000599,73.46486140001798,1,3.7067113000084646,,,,,,,,,,,,,,,,NB,23,F,L,R,2025-02-19_11h52.29.944,ContrastSen,2024.2.4,59.7686117947633,2025-02-19 11h53.57.241136 +0000,
