107.6730 	INFO 	Loaded monitor calibration from ['2024_07_05 16:35']
107.7541 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
108.9304 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B7B76D9CC0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B7B76D9C60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B7C1D5D360>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
108.9305 	EXP 	window1: backgroundImage = ''
108.9305 	EXP 	window1: backgroundFit = 'none'
109.0635 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
109.0635 	EXP 	window1: recordFrameIntervals = False
109.1982 	EXP 	window1: recordFrameIntervals = True
109.3825 	EXP 	Screen (0) actual frame rate measured at 59.77Hz
109.3826 	EXP 	window1: recordFrameIntervals = False
114.0132 	INFO 	keyboard.Keyboard is using iohub backend.
114.0134 	INFO 	keyboard.Keyboard is using iohub backend.
114.0134 	INFO 	keyboard.Keyboard is using iohub backend.
114.0135 	INFO 	keyboard.Keyboard is using iohub backend.
114.0136 	INFO 	keyboard.Keyboard is using iohub backend.
114.0136 	EXP 	ContrastSen: status = STARTED
114.2464 	EXP 	Created Instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
114.2568 	EXP 	Created Arrow = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Arrow', opacity=1, ori=1.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
114.2651 	EXP 	Created Change_eye = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Change_eye', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
114.2664 	EXP 	Created Arrow2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Arrow2', opacity=1, ori=1.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0069 	INFO 	Keyboard events cleared
0.0066 	EXP 	Instructions: autoDraw = True
11.1304 	DATA 	Keypress: right
11.1335 	INFO 	Keyboard events cleared
11.1329 	EXP 	Instructions: autoDraw = False
11.1329 	EXP 	Arrow: ori = 270.0
11.1329 	EXP 	Arrow: autoDraw = True
13.2048 	DATA 	Keypress: left
13.2162 	INFO 	Keyboard events cleared
13.2149 	EXP 	Arrow: autoDraw = False
13.2149 	EXP 	Arrow: ori = 270.0
13.2149 	EXP 	Arrow: autoDraw = True
17.2541 	DATA 	Keypress: left
17.2826 	INFO 	Keyboard events cleared
17.2810 	EXP 	Arrow: autoDraw = False
17.2810 	EXP 	Arrow: ori = 90.0
17.2810 	EXP 	Arrow: autoDraw = True
19.0056 	DATA 	Keypress: right
19.0156 	INFO 	Keyboard events cleared
19.0146 	EXP 	Arrow: autoDraw = False
19.0146 	EXP 	Arrow: ori = 90.0
19.0146 	EXP 	Arrow: autoDraw = True
19.8717 	DATA 	Keypress: right
19.8822 	INFO 	Keyboard events cleared
19.8809 	EXP 	Arrow: autoDraw = False
19.8809 	EXP 	Arrow: ori = 0.0
19.8809 	EXP 	Arrow: autoDraw = True
23.0208 	DATA 	Keypress: right
23.0320 	INFO 	Keyboard events cleared
23.0310 	EXP 	Arrow: autoDraw = False
23.0310 	EXP 	Arrow: ori = 90.0
23.0310 	EXP 	Arrow: autoDraw = True
25.0536 	DATA 	Keypress: right
25.0823 	INFO 	Keyboard events cleared
25.0811 	EXP 	Arrow: autoDraw = False
25.0811 	EXP 	Arrow: ori = 0.0
25.0811 	EXP 	Arrow: autoDraw = True
27.2712 	DATA 	Keypress: right
27.2822 	INFO 	Keyboard events cleared
27.2810 	EXP 	Arrow: autoDraw = False
27.2810 	EXP 	Arrow: ori = 90.0
27.2810 	EXP 	Arrow: autoDraw = True
28.3043 	DATA 	Keypress: right
28.3148 	INFO 	Keyboard events cleared
28.3139 	EXP 	Arrow: autoDraw = False
28.3139 	EXP 	Arrow: ori = 0.0
28.3139 	EXP 	Arrow: autoDraw = True
29.7728 	DATA 	Keypress: up
29.7822 	INFO 	Keyboard events cleared
29.7810 	EXP 	Arrow: autoDraw = False
29.7810 	EXP 	Arrow: ori = 90.0
29.7810 	EXP 	Arrow: autoDraw = True
31.9850 	DATA 	Keypress: right
32.0159 	INFO 	Keyboard events cleared
32.0145 	EXP 	Arrow: autoDraw = False
32.0145 	EXP 	Arrow: ori = 90.0
32.0145 	EXP 	Arrow: autoDraw = True
32.9064 	DATA 	Keypress: right
32.9156 	INFO 	Keyboard events cleared
32.9143 	EXP 	Arrow: autoDraw = False
32.9143 	EXP 	Arrow: ori = 180.0
32.9143 	EXP 	Arrow: autoDraw = True
36.1225 	DATA 	Keypress: right
36.1319 	INFO 	Keyboard events cleared
36.1308 	EXP 	Arrow: autoDraw = False
36.1308 	EXP 	Arrow: ori = 270.0
36.1308 	EXP 	Arrow: autoDraw = True
38.9057 	DATA 	Keypress: left
38.9147 	INFO 	Keyboard events cleared
38.9139 	EXP 	Arrow: autoDraw = False
38.9139 	EXP 	Arrow: ori = 270.0
38.9139 	EXP 	Arrow: autoDraw = True
40.1050 	DATA 	Keypress: left
40.1143 	INFO 	Keyboard events cleared
40.1136 	EXP 	Arrow: autoDraw = False
40.1136 	EXP 	Arrow: ori = 270.0
