ParticipantID,StimOrientation,Direction,ResponseTime,IsOddBall,WaveSpeed
MS,ConcentricR,left,2.30106782913,N,1.79786789208
MS,SpiralL,left,2.47843599319,N,2.11084929109
MS,ConcentricL,left,3.28822803497,N,1.79786789208
MS,RadialL,right,1.43946290016,N,1.79168849567
MS,RadialR,right,1.56456708908,N,1.7878389803
MS,ConcentricR,left,0.639157772064,Y,1.79786789208
MS,SpiralR,left,2.04875516891,N,2.11084929109
MS,RadialL,right,1.0924539566,N,1.77624922991
MS,RadialR,right,1.56825900078,N,1.77283955402
MS,ConcentricR,left,2.53576993942,N,1.79786789208
MS,ConcentricL,left,2.04738593102,N,1.79786789208
MS,SpiralL,right,0.572880983353,Y,2.11084929109
MS,SpiralL,left,3.02623319626,N,2.11084929109
MS,SpiralR,left,2.18877005577,N,2.11084929109
MS,ConcentricL,left,2.9704709053,N,1.79786789208
MS,RadialL,right,1.23103809357,N,1.76410082079
MS,SpiralL,left,2.10117602348,N,2.11084929109
MS,RadialL,right,0.605785131454,Y,1.76410082079
MS,ConcentricR,left,2.67647099495,N,1.79786789208
MS,RadialR,right,1.91763019562,N,1.76653779499
MS,SpiralR,left,2.65522003174,N,2.11084929109
MS,SpiralL,left,2.56932091713,N,2.11084929109
MS,RadialR,right,2.64737915993,N,1.78030094132
MS,RadialL,right,0.639163017273,Y,1.78030094132
MS,RadialL,right,1.24631404877,N,1.77208575836
MS,ConcentricL,right,1.70779395103,N,1.7963148931
MS,ConcentricR,left,2.01335811615,N,1.7963148931
MS,SpiralR,left,2.58686685562,N,2.11084929109
MS,SpiralL,left,2.41566300392,N,2.11084929109
MS,SpiralR,right,0.538945913315,Y,2.11084929109
MS,RadialR,right,1.74820017815,N,1.77172385563
MS,SpiralR,left,3.03673005104,N,2.11084929109
MS,RadialL,right,1.11136507988,N,1.7618677545
MS,ConcentricL,left,2.65033793449,N,1.7963148931
MS,ConcentricR,left,3.77321600914,N,1.7963148931
MS,ConcentricR,right,0.572454929352,Y,1.7963148931
