StairLoop.thisTrialN,StairLoop.stepSize,StairLoop.intensity,StairLoop2.thisTrialN,StairLoop2.stepSize,StairLoop2.intensity,thisRow.t,notes,Intro.started,Instructions.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Left.started,Arrow.started,key_resp.started,Left.stopped,StairLoop.response,key_resp.rt,Pre_SecondBlock.started,key_resp_3.started,Change_eye.started,Pre_SecondBlock.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Right.started,Arrow2.started,Key_Resp2.started,Right.stopped,StairLoop2.response,Key_Resp2.rt,End.started,End.stopped,participant,Age,Gender(M/F/N),Dominant Eye(L/R),Handedness(L/R),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.002747199992882088,0.006320699991192669,0.006320699991192669,13.719952899991767,right,13.614384199987398,None,,,,,,,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
0,0.6,1.0,,,,13.725661500007845,,,,,,,,,13.720210500003304,13.725661500007845,13.725661500007845,14.385576400003629,1,0.6555246999778319,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
1,0.6,0.251188643150958,,,,14.39998819999164,,,,,,,,,14.385999699996319,14.39998819999164,14.39998819999164,16.92012799999793,1,2.5163644999847747,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
2,0.6,0.06309573444801933,,,,16.932954599993536,,,,,,,,,16.920607100008056,16.932954599993536,16.932954599993536,17.735992600006284,1,0.7852268000133336,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
3,0.6,0.015848931924611138,,,,17.749921600014204,,,,,,,,,17.736496700003045,17.749921600014204,17.749921600014204,19.0536006000184,1,1.2996389999752864,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
4,0.4,0.003981071705534973,,,,19.06607639999129,,,,,,,,,19.05406490000314,19.06607639999129,19.06607639999129,20.78684479999356,0,1.7057192999927793,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
5,0.4,0.010000000000000002,,,,20.79958250001073,,,,,,,,,20.787385300005553,20.79958250001073,20.79958250001073,22.152441700018244,0,1.3462931000103708,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
6,0.4,0.025118864315095805,,,,22.165882500004955,,,,,,,,,22.152902200003155,22.165882500004955,22.165882500004955,23.183477400016272,1,1.0015113000117708,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
7,0.4,0.025118864315095805,,,,23.199128400010522,,,,,,,,,23.183638799993787,23.199128400010522,23.199128400010522,24.000843000016175,1,0.7941512000106741,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
8,0.4,0.025118864315095805,,,,24.01573010001448,,,,,,,,,24.001001800002996,24.01573010001448,24.01573010001448,24.78616210000473,1,0.75932469998952,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
9,0.4,0.010000000000000002,,,,24.79942709999159,,,,,,,,,24.78665490000276,24.79942709999159,24.79942709999159,26.303203199990094,1,1.4921885000076145,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
10,0.2,0.010000000000000002,,,,26.316426400007913,,,,,,,,,26.303626900014933,26.316426400007913,26.316426400007913,27.002146100014215,0,0.6787523000093643,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
11,0.2,0.015848931924611138,,,,27.016097799991257,,,,,,,,,27.002641500002937,27.016097799991257,27.016097799991257,27.79998599999817,1,0.7786789999809116,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
12,0.2,0.015848931924611138,,,,27.816208700009156,,,,,,,,,27.80012440000428,27.816208700009156,27.816208700009156,28.51909469999373,1,0.6921565000084229,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
13,0.1,0.015848931924611138,,,,28.53316839999752,,,,,,,,,28.519668099994306,28.53316839999752,28.53316839999752,29.252221100003226,1,0.7122304999793414,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
14,0.1,0.012589254117941673,,,,29.266068800003268,,,,,,,,,29.252651799994055,29.266068800003268,29.266068800003268,30.334625399991637,1,1.061640100000659,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
15,0.05,0.012589254117941673,,,,30.349056200007908,,,,,,,,,30.335042999999132,30.349056200007908,30.349056200007908,31.803300800005672,0,1.4422754000115674,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
16,0.05,0.014125375446227544,,,,31.815785200014943,,,,,,,,,31.80380409999634,31.815785200014943,31.815785200014943,33.86953799999901,1,2.038272399979178,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
17,0.05,0.014125375446227544,,,,33.88287550001405,,,,,,,,,33.87004340000567,33.88287550001405,33.88287550001405,34.81629160000011,1,0.9189926999970339,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
18,0.05,0.014125375446227544,,,,34.83265580001171,,,,,,,,,34.816426500008674,34.83265580001171,34.83265580001171,36.768708299990976,0,1.925790799985407,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
19,0.05,0.015848931924611134,,,,36.78281750000315,,,,,,,,,36.769148399995174,36.78281750000315,36.78281750000315,38.701520600006916,1,1.914672499988228,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
20,0.05,0.015848931924611134,,,,38.71558119999827,,,,,,,,,38.70191810000688,38.71558119999827,38.71558119999827,39.56776180001907,1,0.8461631999816746,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
21,0.05,0.015848931924611134,,,,39.58279380001477,,,,,,,,,39.56811870000092,39.58279380001477,39.58279380001477,40.60219579999102,1,1.0074649000016507,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
22,0.05,0.014125375446227544,,,,40.61581049999222,,,,,,,,,40.60275900000124,40.61581049999222,40.61581049999222,41.93517609999981,1,1.30712310000672,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
23,0.05,0.014125375446227544,,,,41.94950010001776,,,,,,,,,41.93555690001813,41.94950010001776,41.94950010001776,43.00204759999178,1,1.0491241000127047,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
24,0.05,0.014125375446227544,,,,43.01577850000467,,,,,,,,,43.00247700000182,43.01577850000467,43.01577850000467,44.835461800015764,1,1.8117577999946661,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
25,0.05,0.012589254117941673,,,,44.84921509999549,,,,,,,,,44.83586469999864,44.84921509999549,44.84921509999549,46.185860099998536,0,1.333909599983599,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
26,0.05,0.014125375446227544,,,,46.199093800008995,,,,,,,,,46.18626079999376,46.199093800008995,46.199093800008995,47.218611899996176,1,1.0087005000095814,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
27,0.05,0.014125375446227544,,,,47.23253929999191,,,,,,,,,47.219050699990476,47.23253929999191,47.23253929999191,48.05243559999508,1,0.8033860999858007,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
28,0.05,0.014125375446227544,,,,48.06517370001529,,,,,,,,,48.052904400014086,48.06517370001529,48.06517370001529,48.80000960000325,1,0.730752899980871,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
29,0.05,0.012589254117941673,,,,48.81520599999931,,,,,,,,,48.80015070000081,48.81520599999931,48.81520599999931,51.23575459999847,0,2.4110337999882177,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
30,0.05,0.014125375446227544,,,,51.24890450001112,,,,,,,,,51.23627550000674,51.24890450001112,51.24890450001112,52.18483810001635,1,0.9322143000026699,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
31,0.05,0.014125375446227544,,,,52.199180499999784,,,,,,,,,52.1853284999961,52.199180499999784,52.199180499999784,53.683046499994816,1,1.4795647999853827,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
32,0.05,0.014125375446227544,,,,53.69840769999428,,,,,,,,,53.683250200003386,53.69840769999428,53.69840769999428,54.31712829999742,1,0.6064933000016026,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
33,0.05,0.012589254117941673,,,,54.33226749999449,,,,,,,,,54.31751640001312,54.33226749999449,54.33226749999449,55.26785500001279,1,0.9245221999881323,,,,,,,,,,,,,,,,VMM,18,F,L,R,2025-02-19_13h40.05.899,ContrastSen,2024.2.4,60.112482469439165,2025-02-19 13h40.46.584460 +0000,
