ParticipantID,Condition,PressedKey,TrialTime,StampedTime
RHC,Right,left,0.808060884476,0.807826042175
RHC,Right,left,0.808202028275,0.808083057404
RHC,Right,right,1.62411999702,1.62387299538
RHC,Right,left,2.70412707329,2.70387792587
RHC,Right,right,4.52832698822,4.52807688713
RHC,Right,right,4.52847003937,4.5283510685
RHC,Right,left,6.02447891235,6.02417993546
RHC,Right,right,7.94436192513,7.94412493706
RHC,Right,right,7.9445040226,7.94438290596
RHC,Right,left,8.94437599182,8.94412493706
RHC,Right,right,10.6165518761,10.6162750721
RHC,Right,left,12.4165508747,12.4162919521
RHC,Right,right,16.3767468929,16.3764469624
RHC,Right,left,18.5287568569,18.5284938812
RHC,Right,right,20.1286869049,20.1284570694
RHC,Right,right,20.128827095,20.1287090778
RHC,Right,left,21.3767640591,21.3765010834
RHC,Right,right,23.2888219357,23.2885839939
RHC,Right,right,23.2889630795,23.2888438702
RHC,Right,left,25.6009790897,25.6006960869
RHC,Right,right,26.0887410641,26.088547945
RHC,Right,right,26.0888819695,26.0887629986
RHC,Right,left,27.8729388714,27.8726859093
RHC,Right,right,31.4971299171,31.4968929291
RHC,Right,right,31.4972710609,31.4971520901
RHC,Right,left,34.0171220303,34.0169029236
RHC,Right,left,34.0172638893,34.0171458721
RHC,Left,left,57.9860219955,57.9857320786
RHC,Left,right,59.8982579708,59.8855860233
RHC,Left,left,62.0020370483,62.0017459393
RHC,Left,right,64.0568130016,64.0565299988
RHC,Left,left,65.3459939957,65.3457829952
RHC,Left,left,65.3461329937,65.3460149765
RHC,Left,right,67.2182559967,67.2179660797
RHC,Left,left,68.6501228809,68.6498780251
RHC,Left,right,72.5703210831,72.5700728893
RHC,Left,right,72.5704638958,72.5703449249
RHC,Left,left,76.7145569324,76.7142670155
RHC,Left,right,78.9145209789,78.9142599106
RHC,Left,left,80.5466339588,80.546350956
RHC,Left,right,81.9544959068,81.9542880058
RHC,Left,right,81.9546370506,81.9545168877
RHC,Left,left,83.5307569504,83.5304789543
RHC,Left,right,84.5546329021,84.5543849468
RHC,Left,left,85.9868199825,85.9865379333
RHC,Left,right,91.1068799496,91.1066439152
RHC,Left,right,91.1070230007,91.1069018841
RHC,Left,left,93.1389300823,93.1386978626
RHC,Left,left,93.1390769482,93.1389520168
RHC,Right,left,115.211693048,115.211451054
RHC,Right,left,115.211833954,115.211714983
RHC,Right,right,116.083782911,116.083498001
RHC,Right,left,117.371788025,117.371500969
RHC,Right,right,119.299860954,119.299566984
RHC,Right,left,121.299829006,121.299566031
RHC,Right,left,121.299970865,121.299851894
RHC,Right,right,122.851944923,122.851656914
RHC,Right,left,124.227971077,124.227683067
RHC,Right,right,125.908025026,125.90775609
RHC,Right,left,126.796065092,126.79577899
RHC,Right,right,128.356096029,128.355818033
RHC,Right,left,129.764024019,129.763773918
RHC,Right,right,130.836169958,130.835896015
RHC,Right,left,132.836065054,132.835856915
RHC,Right,left,132.836205959,132.836086035
RHC,Right,right,134.676326036,134.676044941
RHC,Right,left,136.18020606,136.179991961
RHC,Right,left,136.180346012,136.180227041
RHC,Right,right,137.444287062,137.444046021
RHC,Right,right,137.444427967,137.444308996
RHC,Right,left,138.756305933,138.756058931
RHC,Right,right,140.504936934,140.498337984
RHC,Right,left,141.940399885,141.940145969
RHC,Right,right,143.684509993,143.684268951
RHC,Right,right,143.68465209,143.684532881
RHC,Right,left,145.340503931,145.340238094
RHC,Right,right,146.884629011,146.884352922
RHC,Right,left,148.012592077,148.012337923
RHC,Right,right,150.220671892,150.220431089
RHC,Right,right,150.220812082,150.220694065
RHC,Right,left,151.756640911,151.756439924
RHC,Right,left,151.756778955,151.756663084
RHC,Left,left,172.549576044,172.549287081
RHC,Left,right,174.685528994,174.685255051
RHC,Left,left,176.405597925,176.405317068
RHC,Left,right,177.885537863,177.885267019
RHC,Left,left,179.341628075,179.341342926
RHC,Left,right,181.309680939,181.309403896
RHC,Left,left,182.669565916,182.669359922
RHC,Left,left,182.669708014,182.669589996
RHC,Left,right,184.253620863,184.253416061
RHC,Left,right,184.253761053,184.253642082
RHC,Left,left,186.285928011,186.285631895
RHC,Left,right,190.246006012,190.245706081
RHC,Left,left,192.526082039,192.525799036
RHC,Left,right,196.126189947,196.125899076
RHC,Left,left,197.910148859,197.909914017
RHC,Left,left,197.91029501,197.910175085
RHC,Left,right,202.614381075,202.614080906
RHC,Left,left,204.462377071,204.462141037
RHC,Left,left,204.462517977,204.462399006
RHC,Left,right,205.806374073,205.806110859
RHC,Left,left,207.174522877,207.174239874
RHC,Left,right,208.798448086,208.798194885
RHC,Left,left,229.863277912,229.862986088
RHC,Left,right,231.799154043,231.798933983
RHC,Left,right,231.799298048,231.799175978
RHC,Left,left,233.599363089,233.599076986
RHC,Left,right,235.44729805,235.447063923
RHC,Left,right,235.447438955,235.447320938
RHC,Left,left,236.567225933,236.567018032
RHC,Left,left,236.567365885,236.567247868
RHC,Left,right,238.111332893,238.111069918
RHC,Left,left,239.319380999,239.319146872
RHC,Left,left,239.31952095,239.319402933
RHC,Left,right,241.063386917,241.063174963
RHC,Left,right,241.063528061,241.06340909
RHC,Left,left,245.231688023,245.231400013
RHC,Left,right,247.535763979,247.535482883
RHC,Left,right,247.535906076,247.535788059
RHC,Left,left,248.791764975,248.791488886
RHC,Left,right,250.583716869,250.583462954
RHC,Left,left,252.559817076,252.559585094
RHC,Left,left,252.559957027,252.55983901
RHC,Left,right,256.7600739,256.759787083
RHC,Left,left,258.296029091,258.295749903
RHC,Left,right,260.127923012,260.127713919
RHC,Left,right,260.128067017,260.127948046
RHC,Left,left,261.176110983,261.175834894
RHC,Left,right,262.928107023,262.927851915
RHC,Left,left,264.712244034,264.711961031
RHC,Left,right,266.168161869,266.167908907
RHC,Right,left,287.36105895,287.36076808
RHC,Right,right,288.040889978,288.040646076
RHC,Right,left,289.344922066,289.344670057
RHC,Right,right,292.657146931,292.656853914
RHC,Right,left,295.353080988,295.352844
RHC,Right,left,295.353221893,295.353102922
RHC,Right,right,298.395488024,298.395205021
RHC,Right,left,301.337370872,301.337090015
RHC,Right,right,303.241431952,303.241151094
RHC,Right,left,304.345347881,304.345097065
RHC,Right,right,306.609620094,306.609317064
RHC,Right,left,307.881422997,307.88121295
RHC,Right,left,307.881562948,307.881443977
RHC,Right,right,309.049567938,309.049289942
RHC,Right,left,310.929497957,310.92929101
RHC,Right,left,310.929637909,310.929518938
RHC,Right,right,312.993634939,312.993402958
RHC,Right,right,312.993777037,312.993658066
RHC,Right,left,314.473669052,314.473443985
RHC,Right,left,314.473809004,314.473690033
RHC,Right,right,318.761971951,318.761677027
RHC,Right,left,320.36984396,320.369592905
RHC,Right,right,322.001924992,322.001692057
RHC,Right,right,322.002067089,322.001946926
RHC,Right,left,343.800004959,343.777523041
RHC,Right,left,344.298502922,344.298307896
RHC,Right,left,344.298642874,344.298523903
RHC,Right,right,345.226603031,345.226384878
RHC,Right,right,345.226743937,345.226625919
RHC,Right,left,346.58671093,346.586437941
RHC,Right,right,348.514776945,348.514533997
RHC,Right,right,348.514915943,348.514800072
RHC,Right,right,351.210892916,351.210608959
RHC,Right,left,352.730776072,352.730567932
RHC,Right,left,352.73091507,352.730797052
RHC,Right,right,354.547013998,354.546714067
RHC,Right,left,355.898923874,355.898665905
RHC,Right,right,357.651057959,357.650778055
RHC,Right,left,359.483139038,359.482857943
RHC,Right,right,360.915096998,360.914846897
RHC,Right,left,362.067137957,362.066880941
RHC,Right,right,363.675189018,363.674957037
RHC,Right,right,363.675333023,363.675210953
RHC,Right,left,366.379317999,366.379076004
RHC,Right,left,366.379457951,366.379340887
RHC,Right,right,369.779502869,369.779212952
RHC,Right,left,371.883543015,371.883250952
RHC,Right,right,373.075362921,373.075157881
RHC,Right,right,373.075501919,373.075383902
RHC,Right,left,374.326287031,374.32603693
RHC,Right,right,376.139600039,376.139358997
RHC,Right,right,376.139740944,376.139621973
RHC,Right,left,378.291720867,378.291441917
RHC,Right,right,379.307607889,379.307353973
RHC,Right,left,380.331573963,380.331374884
RHC,Right,left,380.331714869,380.331594944
RHC,Left,left,401.756430864,401.756190062
RHC,Left,left,401.756572008,401.756453991
RHC,Left,right,403.124402046,403.124150038
RHC,Left,left,405.036514044,405.036231041
RHC,Left,right,407.052528858,407.052265882
RHC,Left,left,408.956579924,408.956347942
RHC,Left,left,408.956722021,408.956601858
RHC,Left,right,410.228587866,410.228337049
RHC,Left,left,411.348679066,411.348402023
RHC,Left,right,413.076689959,413.076436043
RHC,Left,left,415.380838871,415.380558014
RHC,Left,right,420.037034988,420.036736012
RHC,Left,left,421.380936861,421.380688906
RHC,Left,right,422.909034967,422.908761024
RHC,Left,left,425.029087067,425.028814077
RHC,Left,right,425.861032963,425.860790968
RHC,Left,left,427.573184013,427.572939873
RHC,Left,left,427.573324919,427.573206902
RHC,Left,right,428.797163963,428.796909094
RHC,Left,left,430.309254885,430.308979034
RHC,Left,right,431.925237894,431.924983025
RHC,Left,left,433.293397903,433.293118
RHC,Left,right,434.57325387,434.573052883
RHC,Left,right,434.573395014,434.573276043
RHC,Left,left,436.549548864,436.549249887
RHC,Left,right,438.037420034,438.037164927
RHC,Left,left,458.966252089,458.965965033
RHC,Left,right,461.054105997,461.053889036
RHC,Left,right,461.054244995,461.054126978
RHC,Left,left,462.902251005,462.901968956
RHC,Left,right,464.166130066,464.165920973
RHC,Left,right,464.166270018,464.166151047
RHC,Left,left,465.74229598,465.7420609
RHC,Left,left,465.742434978,465.742317915
RHC,Left,right,467.414319038,467.414094925
RHC,Left,right,467.41445899,467.414340973
RHC,Left,left,469.086482048,469.086189032
RHC,Left,right,473.542625904,473.542341948
RHC,Left,left,475.046638012,475.046356916
RHC,Left,right,476.846575975,476.846364021
RHC,Left,right,476.846715927,476.84659791
RHC,Left,left,478.222630024,478.222394943
RHC,Left,left,478.222769976,478.222651958
RHC,Left,right,479.902735949,479.902479887
RHC,Left,left,481.60687089,481.606592894
RHC,Left,right,483.190824032,483.190563917
RHC,Left,left,484.54289794,484.542623997
RHC,Left,right,486.711023092,486.710741043
RHC,Left,left,487.926975012,487.92673707
RHC,Left,left,487.927114964,487.926996946
RHC,Left,right,489.318940878,489.318687916
RHC,Left,left,490.679065943,490.678832054
RHC,Left,left,490.679207087,490.679087877
RHC,Left,right,493.439143896,493.438905001
RHC,Left,right,493.439284086,493.439166069
RHC,Right,left,515.684051991,515.661423922
RHC,Right,left,516.263845921,516.263588905
RHC,Right,right,516.975934982,516.975698948
RHC,Right,right,516.97607708,516.97595787
RHC,Right,left,518.367910862,518.36767292
RHC,Right,left,518.368052006,518.367932081
RHC,Right,right,519.896017075,519.895726919
RHC,Right,left,521.504029989,521.503787994
RHC,Right,left,521.504168987,521.504052877
RHC,Right,right,523.056134939,523.055844069
RHC,Right,left,524.688158989,524.687865019
RHC,Right,right,526.712279081,526.711991072
RHC,Right,left,528.744298935,528.744014978
RHC,Right,right,529.720155954,529.719960928
RHC,Right,right,529.720294952,529.720176935
RHC,Right,left,530.920209885,530.92000699
RHC,Right,left,530.920356035,530.920232058
RHC,Right,right,535.368511915,535.368264914
RHC,Right,right,535.36864996,535.368534088
RHC,Right,left,537.528610945,537.528323889
RHC,Right,right,538.720467091,538.720218897
RHC,Right,left,539.912564039,539.912314892
RHC,Right,right,541.696685076,541.696408987
RHC,Right,left,544.328680038,544.328446865
RHC,Right,left,544.32881999,544.328701973
RHC,Right,right,547.17689991,547.176617861
RHC,Right,left,549.592885017,549.592617989
RHC,Right,right,550.936861038,550.936630011
RHC,Right,right,550.93700099,550.936882973
RHC,Right,left,552.264824867,552.264610052
