ParticipantID,Condition,PressedKey,TrialTime,StampedTime
RH,Left,left,1.68726301193,1.68702697754
RH,Left,left,1.68740391731,1.68728399277
RH,Left,right,3.14781689644,3.14124894142
RH,Left,left,4.77530884743,4.77505683899
RH,Left,right,6.44744896889,6.44720482826
RH,Left,right,6.44759202003,6.4474709034
RH,Left,left,7.67937397957,7.6791229248
RH,Left,right,9.22343993187,9.22318983078
RH,Left,left,10.7275028229,10.7272748947
RH,Left,left,10.7276439667,10.7275259495
RH,Left,right,12.5995588303,12.5993328094
RH,Left,right,12.5996999741,12.5995798111
RH,Left,left,13.8554999828,13.8552968502
RH,Left,left,13.8556399345,13.8555209637
RH,Left,right,18.8718848228,18.8715918064
RH,Left,left,20.0957148075,20.0955138206
RH,Left,left,20.095856905,20.0957369804
RH,Left,right,21.7038319111,21.70358181
RH,Left,left,23.3118510246,23.3116250038
RH,Left,left,23.3119909763,23.3118729591
RH,Left,left,25.6560308933,25.6557478905
RH,Left,right,27.3359308243,27.3357310295
RH,Left,right,27.3360698223,27.3359518051
RH,Left,left,30.6001429558,30.599905014
RH,Left,left,30.6002829075,30.6001639366
RH,Left,left,35.9284238815,35.9281358719
RH,Left,right,36.976225853,36.9760279655
RH,Left,right,36.9763658047,36.9762468338
RH,Right,right,59.5210850239,59.5208399296
RH,Right,right,59.5212249756,59.5211060047
RH,Right,left,61.0731658936,61.0728859901
RH,Right,right,62.5770769119,62.5768220425
RH,Right,left,63.80910182,63.8088769913
RH,Right,left,63.8092420101,63.8091230392
RH,Right,right,65.1770818233,65.1768848896
RH,Right,right,65.1772229671,65.1771030426
RH,Right,left,67.2973558903,67.2970759869
RH,Right,right,71.609377861,71.6091449261
RH,Right,right,71.6095190048,71.609400034
RH,Right,left,72.5693659782,72.5691139698
RH,Right,right,74.3775880337,74.3773038387
RH,Right,left,76.3536469936,76.3533580303
RH,Right,right,77.481443882,77.4812479019
RH,Right,right,77.48158288,77.4814648628
RH,Right,left,79.0787379742,79.0720908642
RH,Right,right,80.7776019573,80.7773499489
RH,Right,left,82.8417649269,82.8414900303
RH,Right,right,86.8019139767,86.8016338348
RH,Right,left,88.593930006,88.593695879
RH,Right,left,88.5940690041,88.5939519405
RH,Right,right,90.3059408665,90.3056848049
RH,Right,left,91.3459298611,91.3456828594
RH,Right,right,92.9140098095,92.9137818813
RH,Right,right,92.9141509533,92.9140319824
RH,Right,left,114.631182909,114.608181
RH,Right,right,118.282995939,118.282702923
RH,Right,left,119.898921013,119.89863801
RH,Right,left,123.755069971,123.754778862
RH,Right,right,125.80305481,125.802810907
RH,Right,right,125.803197861,125.803077936
RH,Right,left,127.355152845,127.354867935
RH,Right,right,129.187150955,129.186914921
RH,Right,right,129.187291861,129.187171936
RH,Right,left,130.275174856,130.274937868
RH,Right,left,130.275316,130.275197029
RH,Right,right,131.987275839,131.986994028
RH,Right,left,133.699342012,133.69905591
RH,Right,right,135.171424866,135.171144009
RH,Right,left,136.411370039,136.411134005
RH,Right,left,136.411509991,136.411391973
RH,Right,right,138.059469938,138.059190035
RH,Right,left,140.379595041,140.379304886
RH,Right,right,143.979717016,143.979429007
RH,Right,left,145.371591806,145.371366024
RH,Right,left,145.371731997,145.371613979
RH,Right,right,147.395812988,147.395524025
RH,Right,left,148.587811947,148.58752203
RH,Right,right,150.05979681,150.05954504
RH,Right,right,150.059937,150.059818983
RH,Right,left,151.795790911,151.795562983
RH,Right,left,151.795943022,151.795812845
RH,Left,left,173.236608982,173.236318827
RH,Left,right,177.740711927,177.740418911
RH,Left,left,179.372687817,179.372443914
RH,Left,left,179.372828007,179.37270999
RH,Left,right,180.980779886,180.98050189
RH,Left,left,182.516861916,182.516573906
RH,Left,right,184.420903921,184.420619011
RH,Left,left,186.180933952,186.180652857
RH,Left,right,187.997067928,187.996780872
RH,Left,left,191.909075975,191.908835888
RH,Left,left,191.909217834,191.90909791
RH,Left,right,196.461248875,196.461007833
RH,Left,right,196.461388826,196.461270809
RH,Left,left,198.445380926,198.445091009
RH,Left,right,200.173401833,200.173105001
RH,Left,left,201.765388012,201.765103817
RH,Left,right,205.821585894,205.821295023
RH,Left,left,207.069545984,207.069303989
RH,Left,left,207.069685936,207.069567919
RH,Left,right,229.220567942,229.197962999
RH,Left,right,231.934278011,231.934062004
RH,Left,right,231.934417009,231.934298992
RH,Left,left,233.822324038,233.82207489
RH,Left,left,233.822465897,233.822346926
RH,Left,right,235.246282816,235.246084929
RH,Left,right,235.246424913,235.246304035
RH,Left,left,236.758431911,236.758194923
RH,Left,left,236.75857091,236.758453846
RH,Left,right,238.718593836,238.718310833
