ParticipantID,Condition,PressedKey,TrialTime,StampedTime
pm,Left,left,0.967392921448,0.967105865479
pm,Left,right,3.01527905464,3.0150809288
pm,Left,right,3.01541900635,3.01530003548
pm,Left,left,8.60754585266,8.60729598999
pm,Left,right,11.5755648613,11.5753629208
pm,Left,right,11.5757060051,11.5755879879
pm,Left,left,14.4716229439,14.4714229107
pm,Left,left,14.4717669487,14.4716439247
pm,Left,right,19.2958459854,19.2955980301
pm,Left,left,23.0639488697,23.063699007
pm,Left,right,27.2962489128,27.2958819866
pm,Left,left,30.1201479435,30.1198990345
pm,Left,right,33.9522259235,33.9520230293
pm,Left,right,33.9523658752,33.9522469044
pm,Left,left,37.0883300304,37.0881228447
pm,Left,left,37.0884699821,37.0883510113
pm,Right,left,58.9851388931,58.9848978519
pm,Right,left,58.9852809906,58.9851620197
pm,Right,right,65.8012239933,65.8010070324
pm,Right,right,65.8013629913,65.8012449741
pm,Right,left,67.7773208618,67.7770719528
pm,Right,right,72.4573838711,72.45718503
pm,Right,right,72.4575240612,72.457406044
pm,Right,left,76.8576259613,76.8573758602
pm,Right,right,84.1058599949,84.1056039333
pm,Right,left,87.0659079552,87.0656599998
pm,Right,right,94.2261440754,94.2258970737
pm,Left,left,116.233173847,116.210772991
pm,Left,left,117.002999067,117.002735853
pm,Left,right,119.210897923,119.210651875
pm,Left,left,121.658912897,121.658710003
pm,Left,left,121.659054041,121.65893507
pm,Left,right,125.531115055,125.530864
pm,Left,left,131.651288033,131.651036978
pm,Left,right,134.9473629,134.947116852
pm,Left,left,137.579463005,137.579207897
pm,Left,right,141.387537956,141.387289047
pm,Left,left,146.467637062,146.467432976
pm,Left,left,146.46777606,146.467658043
pm,Left,right,150.267808914,150.267557859
pm,Right,left,174.329345942,174.306989908
pm,Right,left,175.508805037,175.508512974
pm,Right,right,178.684680939,178.684465885
pm,Right,right,178.68482089,178.684702873
pm,Right,left,181.500763893,181.50051403
pm,Right,right,186.596956968,186.596706867
pm,Right,left,189.916977882,189.916774988
pm,Right,left,189.917118073,189.917000055
pm,Right,right,199.44533205,199.445085049
pm,Right,left,202.293447018,202.293195009
pm,Right,right,207.389638901,207.38931489
pm,Right,right,207.389785051,207.389661074
pm,Right,left,211.133725882,211.133467913
pm,Right,left,233.110575914,233.110288858
pm,Right,right,236.846400023,236.846201897
pm,Right,right,236.846538067,236.846421003
pm,Right,left,239.118520975,239.118275881
pm,Right,right,243.886669874,243.886421919
pm,Right,left,245.894708872,245.894506931
pm,Right,left,245.894851923,245.894733906
pm,Right,right,252.782960892,252.782712936
pm,Right,left,256.799041033,256.798835993
pm,Right,left,256.799180984,256.799062967
pm,Right,right,265.271272898,265.271070957
pm,Right,right,265.271412849,265.271293879
pm,Right,left,268.1754179,268.175170898
pm,Left,left,291.216302872,291.216012001
pm,Left,right,294.44814086,294.447941065
pm,Left,right,294.448279858,294.448162079
pm,Left,left,298.840353966,298.84010601
pm,Left,right,302.904507875,302.90425992
pm,Left,left,308.296644926,308.296397924
pm,Left,right,313.496831894,313.496581078
pm,Left,left,318.072890997,318.07268405
pm,Left,left,318.073029995,318.072912931
pm,Left,right,322.665103912,322.664859056
pm,Left,left,327.305183887,327.304934978
pm,Left,left,349.521996975,349.521754026
pm,Left,left,349.522136927,349.522018909
pm,Left,right,351.64990592,351.649710894
pm,Left,right,351.650044918,351.649926901
pm,Left,left,353.578052044,353.57780385
pm,Left,right,355.306081057,355.305835962
pm,Left,left,358.154206991,358.153939962
pm,Left,right,358.754122019,358.753929853
pm,Left,right,358.754261971,358.754143
pm,Left,left,360.050140858,360.049951077
pm,Left,left,360.050281048,360.050162077
pm,Left,right,363.194336891,363.194087029
pm,Left,left,366.690448046,366.690217018
pm,Left,left,366.690588951,366.69046998
pm,Left,right,369.538536072,369.538279057
pm,Left,left,372.986593008,372.986341953
pm,Left,right,375.186651945,375.186401844
pm,Left,left,379.442713022,379.44250989
pm,Left,left,379.442852974,379.442734003
pm,Left,right,384.434967995,384.434718847
pm,Right,left,408.019886971,408.019597054
pm,Right,right,414.883880854,414.883669853
pm,Right,right,414.884021044,414.883903027
pm,Right,left,417.004019976,417.003759861
pm,Right,right,421.652325869,421.651923895
pm,Right,left,427.556252956,427.556053877
pm,Right,left,427.556392908,427.556273937
pm,Right,right,436.564607859,436.564360857
pm,Right,left,439.404671907,439.404420853
pm,Right,left,465.345187902,465.344887018
pm,Right,right,470.517509937,470.517307043
pm,Right,right,470.517647982,470.517531872
pm,Right,left,473.405626059,473.405420065
pm,Right,left,473.40576601,473.405647039
pm,Right,right,476.789738894,476.789533854
pm,Right,right,476.789880037,476.789761066
pm,Right,left,480.813864946,480.813662052
pm,Right,left,480.814004898,480.813885927
pm,Right,right,484.430008888,484.429759979
pm,Right,left,486.98209095,486.981842041
pm,Right,left,497.07314992,497.060183048
pm,Right,right,500.950531006,500.950280905
pm,Left,left,523.927387953,523.927144051
pm,Left,left,523.927527905,523.927409887
pm,Left,right,526.119406939,526.119098902
pm,Left,left,531.199480057,531.199218035
pm,Left,right,533.967468023,533.967263937
pm,Left,right,533.967608929,533.967489958
pm,Left,left,537.615717888,537.615457058
pm,Left,right,541.415811062,541.415556908
pm,Left,left,549.799962044,549.799757004
pm,Left,left,549.800102949,549.799983025
pm,Left,right,552.632154942,552.631906033
pm,Left,left,555.712214947,555.711963892
